Player,Nation,Pos,Age,MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Ümit Akdag,ro ROU,DF,21-335,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,2.0,1.0,0.33,,Matches
Nuno Lima,pt POR,DF,24-174,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,2.0,1.0,0.33,,Matches
Ertuğrul Taşkıran,tr TUR,GK,35-305,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,3.0,2.0,1.0,0.33,,Matches
Yusuf Özdemir,,MF,24-239,3,258.0,86.0,95.6,2.9,3,86.0,1,0,,0,1.33,3.0,2.0,1.0,0.35,0.35,Matches
Fidan Aliti,xk KVX,DF,31-338,3,246.0,82.0,91.1,2.7,3,82.0,2,0,,0,1.33,3.0,1.0,2.0,0.73,4.48,Matches
Gaius Makouta,cg CGO,MF,28-043,3,238.0,79.0,88.1,2.6,3,79.0,1,0,,0,1.33,2.0,2.0,0.0,0.0,-2.81,Matches
Hwang Ui-jo,kr KOR,MF,33-009,3,235.0,78.0,87.0,2.6,3,78.0,0,0,,0,1.33,2.0,2.0,0.0,0.0,-2.57,Matches
Florent Hadergjonaj,xk KVX,MF,31-037,3,205.0,68.0,75.9,2.3,3,68.0,1,0,,0,1.33,1.0,2.0,-1.0,-0.44,-3.21,Matches
Maestro,ao ANG,MF,22-033,3,197.0,66.0,73.0,2.2,2,90.0,2,1,17.0,0,1.33,3.0,2.0,1.0,0.46,0.46,Matches
Andraž Šporar,si SVN,FW,31-191,2,164.0,82.0,60.7,1.8,2,82.0,1,0,,0,0.5,1.0,2.0,-1.0,-0.55,-2.25,Matches
Güven Yalçın,tr TUR,MF,26-231,3,151.0,50.0,55.9,1.7,2,64.0,0,1,23.0,0,1.33,2.0,2.0,0.0,0.0,-0.76,Matches
İbrahim Kaya,,MF,24-181,3,116.0,39.0,43.0,1.3,1,90.0,1,2,13.0,0,1.33,2.0,0.0,2.0,1.55,2.14,Matches
Uchenna Ogundu,ng NGA,FW,19-117,3,112.0,37.0,41.5,1.2,1,87.0,0,2,13.0,0,1.33,2.0,0.0,2.0,1.61,2.18,Matches
Nicolas Janvier,fr FRA,MF,27-026,2,82.0,41.0,30.4,0.9,1,73.0,0,1,9.0,1,0.5,0.0,0.0,0.0,0.0,-0.48,Matches
Enes Keskin,,MF,24-094,2,65.0,33.0,24.1,0.7,0,,0,2,33.0,1,2.0,2.0,0.0,2.0,2.77,3.21,Matches
İzzet Çelik,,MF,21-078,2,32.0,16.0,11.9,0.4,0,,0,2,16.0,1,1.5,1.0,0.0,1.0,2.81,2.81,Matches
Efecan Karaca,tr TUR,"FW,MF",35-294,2,32.0,16.0,11.9,0.4,0,,0,2,16.0,1,2.0,0.0,0.0,0.0,0.0,-0.38,Matches
Bruno Viana,br BRA,DF,30-213,1,24.0,24.0,8.9,0.3,0,,0,1,24.0,2,0.0,0.0,1.0,-1.0,-3.75,-4.48,Matches
Fatih Aksoy,tr TUR,"DF,MF",27-304,1,3.0,3.0,1.1,0.0,0,,0,1,3.0,1,1.5,1.0,2.0,-1.0,-30.0,-30.67,Matches
Rony Lopes,pt POR,"FW,MF",29-252,0,,,,,0,,0,0,,1,,,,,,,Matches
Bedirhan Özyurt,,DF,22-165,0,,,,,0,,0,0,,2,,,,,,,Matches
Arda Usluoğlu,tr TUR,FW,18-329,0,,,,,0,,0,0,,1,,,,,,,Matches
Paulo Victor Vidotti,br BRA,GK,38-237,0,,,,,0,,0,0,,3,,,,,,,Matches
Squad Total,,,27.7,3,270.0,90.0,100.0,3.0,33,82.0,18,15,17.0,14,1.33,3.0,2.0,1.0,0.33,,
Opponent Total,,,28.4,3,270.0,90.0,100.0,3.0,33,82.0,21,12,14.0,18,1.33,2.0,3.0,-1.0,-0.33,,
