Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Ümit Akdag,ro ROU,DF,21-335,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Nuno Lima,pt POR,DF,24-174,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Ertuğrul Taşkıran,tr TUR,GK,35-305,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Yusuf Özdemir,,MF,24-239,2.9,0,0,0,,0.0,0.0,,,,0,0,Matches
Fidan Aliti,xk KVX,DF,31-338,2.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Gaius Makouta,cg CGO,MF,28-043,2.6,0,1,0,0.0,0.38,0.0,0.0,,,0,0,Matches
Hwang Ui-jo,kr KOR,MF,33-009,2.6,0,6,0,0.0,2.3,0.0,0.0,,,0,0,Matches
Florent Hadergjonaj,xk KVX,MF,31-037,2.3,1,2,1,50.0,0.88,0.44,0.0,0.0,,1,1,Matches
Maestro,ao ANG,MF,22-033,2.2,0,3,0,0.0,1.37,0.0,0.0,,,0,0,Matches
Andraž Šporar,si SVN,FW,31-191,1.8,0,5,1,20.0,2.74,0.55,0.0,0.0,,0,0,Matches
Güven Yalçın,tr TUR,MF,26-231,1.7,1,5,2,40.0,2.98,1.19,0.2,0.5,,0,0,Matches
İbrahim Kaya,,MF,24-181,1.3,1,3,1,33.3,2.33,0.78,0.0,0.0,,1,1,Matches
Uchenna Ogundu,ng NGA,FW,19-117,1.2,0,3,1,33.3,2.41,0.8,0.0,0.0,,0,0,Matches
Nicolas Janvier,fr FRA,MF,27-026,0.9,0,1,0,0.0,1.1,0.0,0.0,,,0,0,Matches
Enes Keskin,,MF,24-094,0.7,0,0,0,,0.0,0.0,,,,0,0,Matches
İzzet Çelik,,MF,21-078,0.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Efecan Karaca,tr TUR,"FW,MF",35-294,0.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Bruno Viana,br BRA,DF,30-213,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Fatih Aksoy,tr TUR,"DF,MF",27-304,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,27.7,3.0,3,30,6,20.0,10.0,2.0,0.03,0.17,,2,2,
Opponent Total,,,28.4,3.0,2,27,10,37.0,9.0,3.33,0.07,0.2,,0,0,
