Player,Nation,Pos,Age,MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Matches
Ümit Akdag,ro ROU,DF,21-335,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nuno Lima,pt POR,DF,24-174,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ertuğrul Taşkıran,tr TUR,GK,35-305,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yusuf Özdemir,,MF,24-239,3,3,258.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches
Fidan Aliti,xk KVX,DF,31-338,3,3,246.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gaius Makouta,cg CGO,MF,28-043,3,3,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hwang Ui-jo,kr KOR,MF,33-009,3,3,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Florent Hadergjonaj,xk KVX,MF,31-037,3,3,205.0,2.3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.44,0.0,0.44,0.0,0.0,Matches
Maestro,ao ANG,MF,22-033,3,2,197.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andraž Šporar,si SVN,FW,31-191,2,2,164.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Güven Yalçın,tr TUR,MF,26-231,3,2,151.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.0,0.6,0.6,0.6,Matches
İbrahim Kaya,,MF,24-181,3,1,116.0,1.3,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.78,0.0,0.78,0.0,0.0,Matches
Uchenna Ogundu,ng NGA,FW,19-117,3,1,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolas Janvier,fr FRA,MF,27-026,2,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Enes Keskin,,MF,24-094,2,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
İzzet Çelik,,MF,21-078,2,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Efecan Karaca,tr TUR,"FW,MF",35-294,2,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Viana,br BRA,DF,30-213,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fatih Aksoy,tr TUR,"DF,MF",27-304,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rony Lopes,pt POR,"FW,MF",29-252,0,0,,,,,,,,,,,,,,,,Matches
Bedirhan Özyurt,,DF,22-165,0,0,,,,,,,,,,,,,,,,Matches
Arda Usluoğlu,tr TUR,FW,18-329,0,0,,,,,,,,,,,,,,,,Matches
Paulo Victor Vidotti,br BRA,GK,38-237,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.7,3,33,270.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,5.0,0.0,1.0,0.33,1.33,0.33,0.67,
Opponent Total,,,28.4,3,33,270.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,0.67,0.67,1.33,0.67,1.33,
