Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Kenneth Paal,sr SUR,DF,28-074,4.0,2,0,0,4,6,0,2,1,2,,,0,Matches
Nikola Storm,be BEL,"MF,FW",30-341,4.0,0,0,0,4,4,0,14,3,1,,,0,Matches
Tomáš Čvančara,cz CZE,FW,25-024,3.7,0,0,0,5,7,4,3,0,0,,,0,Matches
Sander van de Streek,nl NED,"MF,DF",32-166,3.4,1,0,0,7,6,1,5,7,4,,,0,Matches
Abdülkadir Ömür,tr TUR,MF,26-073,3.4,0,0,0,4,2,0,2,2,6,,,0,Matches
Georgi Dzhikiya,ru RUS,DF,31-289,3.4,1,0,0,2,2,0,0,3,0,,,0,Matches
Güray Vural,tr TUR,"MF,FW",37-087,3.1,1,0,0,5,2,1,13,0,2,,,0,Matches
Abdullah Yiğiter,,GK,25-216,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Veysel Sarı,tr TUR,DF,37-043,2.7,0,0,0,1,2,0,0,1,2,,,0,Matches
Soner Dikmen,tr TUR,MF,32-005,2.4,0,0,0,4,4,0,0,1,0,,,0,Matches
Jesper Ceesay,gm GAM,MF,23-321,2.4,0,0,0,0,3,1,2,4,3,,,0,Matches
Jakub Kałuziński,pl POL,MF,22-310,2.4,0,0,0,4,2,0,12,2,0,,,0,Matches
Bünyamin Balcı,tr TUR,DF,25-098,2.3,0,0,0,2,5,0,2,4,4,,,0,Matches
Lautaro Gianetti,ar ARG,DF,31-297,1.4,0,0,0,4,1,0,0,0,4,,,0,Matches
Julián Cuesta,es ESP,GK,34-162,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Bahadır Öztürk,tr TUR,DF,29-340,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches
Engin Yıldırım,tr TUR,FW,20-234,0.4,1,0,0,2,0,0,0,0,0,,,0,Matches
Dario Šarić,ba BIH,MF,28-099,0.3,0,0,0,0,2,0,1,0,0,,,0,Matches
Mert Yilmaz,tr TUR,"DF,MF",26-182,0.2,1,0,0,1,1,0,0,0,0,,,0,Matches
Hüseyin Türkmen,tr TUR,DF,27-248,0.2,0,0,0,0,0,0,0,1,0,,,0,Matches
Hasan İlçin,,MF,16-166,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Ali Demirbilek,,FW,16-244,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,29.3,4.0,7,0,0,49,49,7,56,29,28,,,0,
Opponent Total,,,27.9,4.0,7,0,0,50,47,7,77,27,25,,,0,
