Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Kenneth Paal,sr SUR,DF,28-074,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Nikola Storm,be BEL,"MF,FW",30-341,4.0,2,7,5,71.4,1.75,1.25,0.29,0.4,,0,0,Matches
Tomáš Čvančara,cz CZE,FW,25-024,3.7,0,9,5,55.6,2.46,1.37,0.0,0.0,,0,0,Matches
Sander van de Streek,nl NED,"MF,DF",32-166,3.4,0,2,0,0.0,0.58,0.0,0.0,,,0,0,Matches
Abdülkadir Ömür,tr TUR,MF,26-073,3.4,0,2,2,100.0,0.6,0.6,0.0,0.0,,0,0,Matches
Georgi Dzhikiya,ru RUS,DF,31-289,3.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Güray Vural,tr TUR,"MF,FW",37-087,3.1,2,10,5,50.0,3.27,1.64,0.2,0.4,,0,0,Matches
Abdullah Yiğiter,,GK,25-216,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Veysel Sarı,tr TUR,DF,37-043,2.7,0,1,0,0.0,0.38,0.0,0.0,,,0,0,Matches
Soner Dikmen,tr TUR,MF,32-005,2.4,0,1,0,0.0,0.41,0.0,0.0,,,0,0,Matches
Jesper Ceesay,gm GAM,MF,23-321,2.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Jakub Kałuziński,pl POL,MF,22-310,2.4,0,2,1,50.0,0.83,0.42,0.0,0.0,,0,0,Matches
Bünyamin Balcı,tr TUR,DF,25-098,2.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Lautaro Gianetti,ar ARG,DF,31-297,1.4,0,3,2,66.7,2.18,1.45,0.0,0.0,,0,0,Matches
Julián Cuesta,es ESP,GK,34-162,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Bahadır Öztürk,tr TUR,DF,29-340,0.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Engin Yıldırım,tr TUR,FW,20-234,0.4,0,2,0,0.0,5.63,0.0,0.0,,,0,0,Matches
Dario Šarić,ba BIH,MF,28-099,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Mert Yilmaz,tr TUR,"DF,MF",26-182,0.2,0,1,0,0.0,4.29,0.0,0.0,,,0,0,Matches
Hüseyin Türkmen,tr TUR,DF,27-248,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Hasan İlçin,,MF,16-166,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Ali Demirbilek,,FW,16-244,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,29.3,4.0,4,40,20,50.0,10.0,5.0,0.1,0.2,,0,0,
Opponent Total,,,27.9,4.0,4,58,16,27.6,14.5,4.0,0.07,0.25,,0,0,
