Player,Nation,Pos,Age,MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Matches
Kenneth Paal,sr SUR,DF,28-074,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nikola Storm,be BEL,"MF,FW",30-341,4,4,359.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.5,0.25,0.75,0.5,0.75,Matches
Tomáš Čvančara,cz CZE,FW,25-024,4,4,329.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sander van de Streek,nl NED,"MF,DF",32-166,4,4,308.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches
Abdülkadir Ömür,tr TUR,MF,26-073,4,4,302.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Georgi Dzhikiya,ru RUS,DF,31-289,4,3,307.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Güray Vural,tr TUR,"MF,FW",37-087,4,3,275.0,3.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.65,0.0,0.65,0.65,0.65,Matches
Abdullah Yiğiter,,GK,25-216,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Veysel Sarı,tr TUR,DF,37-043,3,3,239.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.38,0.0,0.38,Matches
Soner Dikmen,tr TUR,MF,32-005,3,3,218.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jesper Ceesay,gm GAM,MF,23-321,3,2,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jakub Kałuziński,pl POL,MF,22-310,4,2,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bünyamin Balcı,tr TUR,DF,25-098,4,2,206.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.44,Matches
Lautaro Gianetti,ar ARG,DF,31-297,3,1,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Julián Cuesta,es ESP,GK,34-162,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bahadır Öztürk,tr TUR,DF,29-340,1,1,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Engin Yıldırım,tr TUR,FW,20-234,4,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dario Šarić,ba BIH,MF,28-099,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mert Yilmaz,tr TUR,"DF,MF",26-182,3,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hüseyin Türkmen,tr TUR,DF,27-248,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hasan İlçin,,MF,16-166,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ali Demirbilek,,FW,16-244,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kagan Arican,tr TUR,GK,19-180,0,0,,,,,,,,,,,,,,,,Matches
Ege Izmirli,tr TUR,DF,17-226,0,0,,,,,,,,,,,,,,,,Matches
Kerem Kayaarası,tr TUR,FW,19-172,0,0,,,,,,,,,,,,,,,,Matches
Berkay Topdemir,,FW,18-248,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,29.3,4,44,360.0,4.0,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,1.0,1.0,2.0,1.0,2.0,
Opponent Total,,,27.9,4,44,360.0,4.0,4.0,3.0,7.0,4.0,0.0,0.0,7.0,0.0,1.0,0.75,1.75,1.0,1.75,
