Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Festy Ebosele,ie IRL,DF,23-035,2.0,0,0,0,4,7,0,1,3,5,,,0,Matches
Jerome Opoku,gh GHA,DF,26-327,1.9,1,0,0,3,2,0,1,1,4,,,0,Matches
Eldor Shomurodov,uz UZB,"MF,FW",30-069,1.8,0,0,0,1,0,0,0,0,1,,,0,Matches
Onur Ergün,,MF,32-295,1.3,0,0,0,0,0,0,1,1,0,,,0,Matches
Umut Güneş,tr TUR,MF,25-174,1.3,0,0,0,3,1,0,1,2,2,,,0,Matches
Ivan Brnić,hr CRO,MF,24-014,1.2,0,0,0,0,0,0,6,1,0,,,0,Matches
Deniz Turuc,tr TUR,MF,32-220,1.2,0,0,0,1,1,0,7,0,2,,,0,Matches
Crespo,pt POR,MF,28-360,1.2,1,0,0,4,0,0,2,0,0,,,0,Matches
Ousseynou Ba,sn SEN,DF,29-299,1.1,2,0,0,4,1,0,0,2,0,,,0,Matches
Onur Bulut,tr TUR,DF,31-143,1.0,0,0,0,3,4,0,0,2,0,,,0,Matches
Deniz Dilmen,,GK,20-093,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Léo Duarte,br BRA,DF,29-051,1.0,0,0,0,0,1,0,0,0,2,,,0,Matches
Olivier Kemen,cm CMR,MF,29-048,1.0,0,0,0,3,3,0,1,0,1,,,0,Matches
Christopher Operi,ci CIV,DF,28-130,1.0,0,0,0,1,1,0,3,1,1,,,0,Matches
Muhammed Şengezer,tr TUR,GK,28-244,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Nuno da Costa,cv CPV,FW,34-208,0.9,0,0,0,4,1,0,0,0,0,,,0,Matches
Abbosbek Fayzullayev,uz UZB,MF,21-338,0.8,1,0,0,2,0,0,7,1,1,,,0,Matches
Yusuf Sari,tr TUR,MF,26-290,0.8,0,0,0,0,1,0,5,0,0,,,0,Matches
Ömer Faruk Beyaz,tr TUR,MF,22-008,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
Berat Özdemir,tr TUR,MF,27-106,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Davie Selke,de GER,FW,30-229,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,27.9,2.0,5,0,0,33,24,0,35,14,19,,,0,
Opponent Total,,,29.4,2.0,6,0,0,24,31,4,40,12,17,,,0,
