Player,Nation,Pos,Age,MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Festy Ebosele,ie IRL,DF,23-035,2,180.0,90.0,100.0,2.0,2,90.0,2,0,,0,1.0,1.0,1.0,0.0,0.0,,Matches
Jerome Opoku,gh GHA,DF,26-327,2,170.0,85.0,94.4,1.9,2,85.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Eldor Shomurodov,uz UZB,"MF,FW",30-069,2,159.0,80.0,88.3,1.8,2,80.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Onur Ergün,,MF,32-295,2,114.0,57.0,63.3,1.3,2,57.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Umut Güneş,tr TUR,MF,25-174,2,114.0,57.0,63.3,1.3,1,69.0,0,1,45.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Ivan Brnić,hr CRO,MF,24-014,2,111.0,56.0,61.7,1.2,1,90.0,1,1,21.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Deniz Turuc,tr TUR,MF,32-220,2,111.0,56.0,61.7,1.2,1,90.0,1,1,21.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Crespo,pt POR,MF,28-360,2,110.0,55.0,61.1,1.2,1,89.0,0,1,21.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Ousseynou Ba,sn SEN,DF,29-299,2,100.0,50.0,55.6,1.1,1,90.0,1,1,10.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Onur Bulut,tr TUR,DF,31-143,1,90.0,90.0,50.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Deniz Dilmen,,GK,20-093,1,90.0,90.0,50.0,1.0,1,90.0,1,0,,1,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Léo Duarte,br BRA,DF,29-051,1,90.0,90.0,50.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Olivier Kemen,cm CMR,MF,29-048,1,90.0,90.0,50.0,1.0,1,90.0,1,0,,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Christopher Operi,ci CIV,DF,28-130,1,90.0,90.0,50.0,1.0,1,90.0,1,0,,1,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Muhammed Şengezer,tr TUR,GK,28-244,1,90.0,90.0,50.0,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Nuno da Costa,cv CPV,FW,34-208,1,81.0,81.0,45.0,0.9,1,81.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches
Abbosbek Fayzullayev,uz UZB,MF,21-338,1,69.0,69.0,38.3,0.8,1,69.0,0,0,,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Yusuf Sari,tr TUR,MF,26-290,1,69.0,69.0,38.3,0.8,1,69.0,0,0,,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Ömer Faruk Beyaz,tr TUR,MF,22-008,2,22.0,11.0,12.2,0.2,0,,0,2,11.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Berat Özdemir,tr TUR,MF,27-106,1,21.0,21.0,11.7,0.2,0,,0,1,21.0,1,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Davie Selke,de GER,FW,30-229,1,9.0,9.0,5.0,0.1,0,,0,1,9.0,0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Berkay Aslan,tr TUR,MF,18-244,0,,,,,0,,0,0,,1,,,,,,,Matches
Volkan Babacan,tr TUR,GK,37-026,0,,,,,0,,0,0,,2,,,,,,,Matches
Hamza Güreler,tr TUR,DF,19-149,0,,,,,0,,0,0,,2,,,,,,,Matches
Squad Total,,,27.9,2,180.0,90.0,100.0,2.0,22,82.0,13,9,19.0,8,1.0,1.0,1.0,0.0,0.0,,
Opponent Total,,,29.4,2,180.0,90.0,100.0,2.0,22,82.0,12,10,20.0,10,1.0,1.0,1.0,0.0,0.0,,
