Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Festy Ebosele,ie IRL,DF,23-035,2.0,0,1,0,0.0,0.5,0.0,0.0,,,0,0,Matches
Jerome Opoku,gh GHA,DF,26-327,1.9,0,0,0,,0.0,0.0,,,,0,0,Matches
Eldor Shomurodov,uz UZB,"MF,FW",30-069,1.8,0,6,2,33.3,3.4,1.13,0.0,0.0,,0,0,Matches
Onur Ergün,,MF,32-295,1.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Umut Güneş,tr TUR,MF,25-174,1.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Ivan Brnić,hr CRO,MF,24-014,1.2,1,4,2,50.0,3.24,1.62,0.25,0.5,,0,0,Matches
Deniz Turuc,tr TUR,MF,32-220,1.2,0,1,1,100.0,0.81,0.81,0.0,0.0,,0,0,Matches
Crespo,pt POR,MF,28-360,1.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Ousseynou Ba,sn SEN,DF,29-299,1.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Onur Bulut,tr TUR,DF,31-143,1.0,0,1,0,0.0,1.0,0.0,0.0,,,0,0,Matches
Deniz Dilmen,,GK,20-093,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Léo Duarte,br BRA,DF,29-051,1.0,0,1,0,0.0,1.0,0.0,0.0,,,0,0,Matches
Olivier Kemen,cm CMR,MF,29-048,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,,0,0,Matches
Christopher Operi,ci CIV,DF,28-130,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,,0,0,Matches
Muhammed Şengezer,tr TUR,GK,28-244,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Nuno da Costa,cv CPV,FW,34-208,0.9,0,2,1,50.0,2.22,1.11,0.0,0.0,,0,0,Matches
Abbosbek Fayzullayev,uz UZB,MF,21-338,0.8,0,3,0,0.0,3.91,0.0,0.0,,,0,0,Matches
Yusuf Sari,tr TUR,MF,26-290,0.8,0,1,0,0.0,1.3,0.0,0.0,,,0,0,Matches
Ömer Faruk Beyaz,tr TUR,MF,22-008,0.2,0,1,0,0.0,4.09,0.0,0.0,,,0,0,Matches
Berat Özdemir,tr TUR,MF,27-106,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Davie Selke,de GER,FW,30-229,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,27.9,2.0,1,23,8,34.8,11.5,4.0,0.04,0.13,,0,0,
Opponent Total,,,29.4,2.0,1,21,4,19.0,10.5,2.0,0.05,0.25,,0,0,
