Player,Nation,Pos,Age,MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Matches
Festy Ebosele,ie IRL,DF,23-035,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jerome Opoku,gh GHA,DF,26-327,2,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eldor Shomurodov,uz UZB,"MF,FW",30-069,2,2,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Onur Ergün,,MF,32-295,2,2,114.0,1.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.0,0.79,Matches
Umut Güneş,tr TUR,MF,25-174,2,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivan Brnić,hr CRO,MF,24-014,2,1,111.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.81,0.0,0.81,0.81,0.81,Matches
Deniz Turuc,tr TUR,MF,32-220,2,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Crespo,pt POR,MF,28-360,2,1,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ousseynou Ba,sn SEN,DF,29-299,2,1,100.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Onur Bulut,tr TUR,DF,31-143,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Deniz Dilmen,,GK,20-093,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Léo Duarte,br BRA,DF,29-051,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Olivier Kemen,cm CMR,MF,29-048,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Christopher Operi,ci CIV,DF,28-130,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Muhammed Şengezer,tr TUR,GK,28-244,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nuno da Costa,cv CPV,FW,34-208,1,1,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Abbosbek Fayzullayev,uz UZB,MF,21-338,1,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yusuf Sari,tr TUR,MF,26-290,1,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ömer Faruk Beyaz,tr TUR,MF,22-008,2,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Berat Özdemir,tr TUR,MF,27-106,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Davie Selke,de GER,FW,30-229,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Berkay Aslan,tr TUR,MF,18-244,0,0,,,,,,,,,,,,,,,,Matches
Volkan Babacan,tr TUR,GK,37-026,0,0,,,,,,,,,,,,,,,,Matches
Hamza Güreler,tr TUR,DF,19-149,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.9,2,22,180.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,1.0,0.5,1.0,
Opponent Total,,,29.4,2,22,180.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,1.0,0.5,1.0,
