Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Tammy Abraham,eng ENG,FW,27-339,2.0,0,0,0,3,2,2,0,1,0,,,0,Matches
Ohis Felix Uduokhai,de GER,DF,27-362,2.0,1,0,0,3,2,0,0,4,2,,,0,Matches
Mert Günok,tr TUR,GK,36-189,2.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Rafa Silva,pt POR,MF,32-112,2.0,0,0,0,1,3,1,2,1,1,,,0,Matches
Jonas Svensson,no NOR,DF,32-184,1.9,1,0,0,6,3,0,1,5,4,,,0,Matches
Wilfred Ndidi,ng NGA,MF,28-264,1.8,1,0,0,4,1,0,0,2,1,,,0,Matches
Orkun Kökçü,tr TUR,MF,24-251,1.8,0,0,0,1,1,0,11,0,1,,,0,Matches
João Mário,pt POR,MF,32-230,1.2,0,0,0,0,0,2,3,0,2,,,0,Matches
Tiago Djaló,pt POR,DF,25-150,1.0,1,0,0,2,0,0,0,0,0,,,0,Matches
David Jurásek,cz CZE,DF,25-030,1.0,0,0,0,0,1,0,14,2,2,,,0,Matches
Gabriel Paulista,br BRA,DF,34-284,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Milot Rashica,xk KVX,MF,29-070,1.0,0,0,0,1,1,1,5,0,1,,,0,Matches
Kartal Yılmaz,tr TUR,MF,24-306,0.9,0,0,0,5,0,0,1,0,0,,,0,Matches
Emir Topçu,tr TUR,DF,24-330,0.8,0,0,0,0,0,0,2,1,0,,,0,Matches
Ernest Muçi,al ALB,MF,24-171,0.6,0,0,0,1,1,0,0,1,1,,,0,Matches
Demir Ege Tıknaz,tr TUR,MF,21-020,0.4,1,0,0,3,0,0,0,0,3,,,0,Matches
El Bilal Touré,ml MLI,FW,23-338,0.4,0,0,0,1,0,1,0,1,0,,,0,Matches
Serkan Terzi,tr TUR,DF,21-244,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
Taylan Bulut,de GER,DF,19-230,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
Tayyib Talha Sanuç,tr TUR,DF,25-263,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,29.1,2.0,5,0,0,32,17,7,40,18,18,,,0,
Opponent Total,,,28.1,2.0,3,0,0,17,31,8,31,18,25,,,0,
