Player,Nation,Pos,Age,MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Matches
Tammy Abraham,eng ENG,FW,27-339,2,2,180.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,Matches
Ohis Felix Uduokhai,de GER,DF,27-362,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mert Günok,tr TUR,GK,36-189,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafa Silva,pt POR,MF,32-112,2,2,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,Matches
Jonas Svensson,no NOR,DF,32-184,2,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wilfred Ndidi,ng NGA,MF,28-264,2,2,159.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Orkun Kökçü,tr TUR,MF,24-251,2,2,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Mário,pt POR,MF,32-230,2,1,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tiago Djaló,pt POR,DF,25-150,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Jurásek,cz CZE,DF,25-030,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Paulista,br BRA,DF,34-284,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Matches
Milot Rashica,xk KVX,MF,29-070,1,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kartal Yılmaz,tr TUR,MF,24-306,2,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emir Topçu,tr TUR,DF,24-330,1,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ernest Muçi,al ALB,MF,24-171,1,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Demir Ege Tıknaz,tr TUR,MF,21-020,2,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
El Bilal Touré,ml MLI,FW,23-338,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Serkan Terzi,tr TUR,DF,21-244,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Taylan Bulut,de GER,DF,19-230,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Tayyib Talha Sanuç,tr TUR,DF,25-263,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Keny Arroyo,ec ECU,MF,19-204,0,0,,,,,,,,,,,,,,,,Matches
Emre Bilgin,tr TUR,GK,21-192,0,0,,,,,,,,,,,,,,,,Matches
Ersin Destanoğlu,tr TUR,GK,24-248,0,0,,,,,,,,,,,,,,,,Matches
Amir Hadžiahmetović,ba BIH,MF,28-182,0,0,,,,,,,,,,,,,,,,Matches
Salih Uçan,tr TUR,MF,31-243,0,0,,,,,,,,,,,,,,,,Matches
Necip Uysal,tr TUR,"DF,MF",34-225,0,0,,,,,,,,,,,,,,,,Matches
Emrecan Uzunhan,,MF,24-192,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,29.1,2,22,180.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,0.5,1.5,0.5,1.0,
Opponent Total,,,28.1,2,22,180.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,0.0,1.5,0.5,2.0,1.0,1.5,
