Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Luccas Claro,br BRA,DF,33-339,4.0,1,0,0,5,1,0,0,6,2,,,0,Matches
Nihad Mujakić,ba BIH,DF,27-144,4.0,0,0,0,3,3,0,0,1,5,,,0,Matches
Robin Yalçın,de GER,DF,31-224,4.0,0,0,0,1,4,0,1,0,1,,,0,Matches
Kerem Demirbay,de GER,MF,32-065,3.9,2,0,0,5,6,0,21,8,3,,,0,Matches
Denis Drăguș,ro ROU,MF,26-062,3.3,1,0,0,9,9,1,4,0,4,,,0,Matches
Serdar Gürler,tr TUR,MF,33-357,3.0,0,0,0,0,3,1,12,2,2,,,0,Matches
Mame Baba Thiam,sn SEN,FW,32-332,3.0,0,0,0,6,6,1,2,1,0,,,0,Matches
Marcos Felipe,br BRA,GK,29-146,3.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Yalçın Kayan,tr TUR,MF,26-219,2.8,2,0,0,4,8,0,11,3,2,,,0,Matches
Lucas Calegari,br BRA,MF,23-191,2.6,1,0,0,1,5,0,5,0,1,,,0,Matches
Svit Sešlar,si SVN,MF,23-240,2.2,0,0,0,2,3,0,5,0,1,,,0,Matches
Umut Bozok,tr TUR,FW,28-352,1.7,2,0,0,6,5,1,0,0,1,,,0,Matches
Halil Akbunar,tr TUR,MF,31-301,1.4,0,0,0,0,1,5,4,0,0,,,0,Matches
Melih Kabasakal,,MF,29-200,1.2,0,0,0,1,0,0,0,3,4,,,0,Matches
Berke Özer,tr TUR,GK,25-104,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Emre Akbaba,tr TUR,MF,32-337,0.9,0,0,0,2,2,1,1,1,3,,,0,Matches
Talha Ulvan,be BEL,DF,24-139,0.7,0,0,0,0,2,0,3,1,2,,,0,Matches
Prince Obeng Ampem,gh GHA,MF,27-146,1.2,2,0,0,3,3,1,4,2,1,,,0,Matches
Ilter Tashkin,az AZE,MF,31-063,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Metehan Altunbaş,tr TUR,FW,22-242,0.0,1,0,0,1,1,0,0,0,0,,,0,Matches
Mete-Kaan Demir,tr TUR,FW,27-116,0.0,0,0,0,0,0,0,0,0,1,,,0,Matches
Squad Total,,,29.5,4.0,12,0,0,49,63,11,73,28,33,,,0,
Opponent Total,,,28.7,4.0,10,0,0,65,46,7,76,18,41,,,0,
