Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Luccas Claro,br BRA,DF,33-339,4.0,0,2,0,0.0,0.5,0.0,0.0,,,0,0,Matches
Nihad Mujakić,ba BIH,DF,27-144,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Robin Yalçın,de GER,DF,31-224,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Kerem Demirbay,de GER,MF,32-065,3.9,0,2,0,0.0,0.51,0.0,0.0,,,0,0,Matches
Denis Drăguș,ro ROU,MF,26-062,3.3,0,12,3,25.0,3.65,0.91,0.0,0.0,,0,0,Matches
Serdar Gürler,tr TUR,MF,33-357,3.0,0,3,0,0.0,1.0,0.0,0.0,,,0,0,Matches
Mame Baba Thiam,sn SEN,FW,32-332,3.0,1,6,2,33.3,2.0,0.67,0.17,0.5,,0,0,Matches
Marcos Felipe,br BRA,GK,29-146,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Yalçın Kayan,tr TUR,MF,26-219,2.8,0,0,0,,0.0,0.0,,,,0,0,Matches
Lucas Calegari,br BRA,MF,23-191,2.6,0,0,0,,0.0,0.0,,,,0,0,Matches
Svit Sešlar,si SVN,MF,23-240,2.2,1,3,1,33.3,1.37,0.46,0.33,1.0,,0,0,Matches
Umut Bozok,tr TUR,FW,28-352,1.7,0,1,0,0.0,0.6,0.0,0.0,,,0,0,Matches
Halil Akbunar,tr TUR,MF,31-301,1.4,1,5,1,20.0,3.49,0.7,0.2,1.0,,0,0,Matches
Melih Kabasakal,,MF,29-200,1.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Berke Özer,tr TUR,GK,25-104,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Emre Akbaba,tr TUR,MF,32-337,0.9,0,4,1,25.0,4.56,1.14,0.0,0.0,,0,0,Matches
Talha Ulvan,be BEL,DF,24-139,0.7,0,1,0,0.0,1.36,0.0,0.0,,,0,0,Matches
Prince Obeng Ampem,gh GHA,MF,27-146,1.2,1,5,3,60.0,4.25,2.55,0.2,0.33,,0,0,Matches
Ilter Tashkin,az AZE,MF,31-063,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Metehan Altunbaş,tr TUR,FW,22-242,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Mete-Kaan Demir,tr TUR,FW,27-116,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,29.5,4.0,4,44,11,25.0,11.0,2.75,0.09,0.36,,0,0,
Opponent Total,,,28.7,4.0,7,56,20,35.7,14.0,5.0,0.07,0.2,,3,3,
