Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Jure Balkovec,si SVN,DF,30-362,3.0,2,0,0,1,5,0,1,4,1,,,0,Matches
Atakan Çankaya,tr TUR,DF,27-073,3.0,0,0,0,3,7,0,2,3,5,,,0,Matches
Ivo Grbić,hr CRO,GK,29-231,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Daniel Johnson,jm JAM,MF,32-333,3.0,0,0,0,4,1,0,3,4,1,,,0,Matches
Tiago Çukur,tr TUR,FW,22-280,2.9,0,0,0,3,0,0,4,0,1,,,0,Matches
Barış Kalayci,de GER,MF,20-007,2.1,1,0,0,2,6,0,4,1,1,,,0,Matches
Andre Gray,jm JAM,FW,34-072,2.0,0,0,0,2,1,0,4,0,0,,,0,Matches
Fatih Kuruçuk,tr TUR,DF,27-228,2.0,1,0,0,1,3,0,0,0,1,,,1,Matches
Sergio Antonio De Luiz Junior,br BRA,"MF,FW",30-153,1.8,0,0,0,2,4,3,1,1,1,,,0,Matches
Çağtay Kurukalıp,tr TUR,DF,23-194,1.7,0,0,0,1,6,1,4,3,1,,,0,Matches
Ahmet Sivri,,"MF,FW",26-062,1.5,0,0,0,8,2,0,5,0,2,,,0,Matches
Tarık Kalpaklı,,MF,16-153,1.3,1,0,0,6,1,1,0,0,2,,,0,Matches
Berkay Özcan,tr TUR,MF,27-203,1.1,0,0,0,2,0,0,3,2,2,,,0,Matches
Muhammed Kadıoğlu,,DF,18-248,1.0,0,0,0,0,1,0,0,1,0,,,0,Matches
Anıl Çınar,,DF,22-058,1.0,0,0,0,2,2,0,0,3,1,,,0,Matches
Alper Demirol,se SWE,MF,22-340,0.7,0,0,0,0,2,0,0,0,0,,,0,Matches
Marius Doh,ci CIV,MF,21-263,0.2,0,1,0,1,0,0,0,0,1,,,0,Matches
Ömer Gümüş,,MF,22-061,0.8,0,0,0,1,0,0,5,0,1,,,0,Matches
Nikoloz Ugrekhelidze,ge GEO,MF,22-022,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,26.8,3.0,5,1,0,39,41,5,36,22,21,,,1,
Opponent Total,,,27.8,3.0,2,0,0,45,37,4,74,20,36,,,0,
