Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Jure Balkovec,si SVN,DF,30-362,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Atakan Çankaya,tr TUR,DF,27-073,3.0,0,3,1,33.3,1.0,0.33,0.0,0.0,,0,0,Matches
Ivo Grbić,hr CRO,GK,29-231,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Daniel Johnson,jm JAM,MF,32-333,3.0,1,4,2,50.0,1.33,0.67,0.25,0.5,,0,0,Matches
Tiago Çukur,tr TUR,FW,22-280,2.9,0,6,3,50.0,2.07,1.03,0.0,0.0,,0,0,Matches
Barış Kalayci,de GER,MF,20-007,2.1,0,6,1,16.7,2.87,0.48,0.0,0.0,,0,0,Matches
Andre Gray,jm JAM,FW,34-072,2.0,0,2,1,50.0,0.98,0.49,0.0,0.0,,0,0,Matches
Fatih Kuruçuk,tr TUR,DF,27-228,2.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Sergio Antonio De Luiz Junior,br BRA,"MF,FW",30-153,1.8,0,4,0,0.0,2.24,0.0,0.0,,,0,0,Matches
Çağtay Kurukalıp,tr TUR,DF,23-194,1.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Ahmet Sivri,,"MF,FW",26-062,1.5,0,1,1,100.0,0.66,0.66,0.0,0.0,,0,0,Matches
Tarık Kalpaklı,,MF,16-153,1.3,0,3,0,0.0,2.37,0.0,0.0,,,0,0,Matches
Berkay Özcan,tr TUR,MF,27-203,1.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Muhammed Kadıoğlu,,DF,18-248,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Anıl Çınar,,DF,22-058,1.0,1,1,1,100.0,1.01,1.01,1.0,1.0,,0,0,Matches
Alper Demirol,se SWE,MF,22-340,0.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Marius Doh,ci CIV,MF,21-263,0.2,0,2,0,0.0,8.18,0.0,0.0,,,0,0,Matches
Ömer Gümüş,,MF,22-061,0.8,0,1,0,0.0,1.23,0.0,0.0,,,0,0,Matches
Nikoloz Ugrekhelidze,ge GEO,MF,22-022,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,26.8,3.0,2,34,10,29.4,11.33,3.33,0.06,0.2,,0,0,
Opponent Total,,,27.8,3.0,5,53,21,39.6,17.67,7.0,0.09,0.24,,0,0,
