Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Milan Škriniar,sk SVK,DF,30-207,3.0,0,0,0,4,3,0,0,1,1,,,0,Matches
Youssef En-Nesyri,ma MAR,FW,28-097,3.0,1,0,0,4,1,1,2,0,1,,,0,Matches
Archie Brown,eng ENG,"MF,DF",23-101,2.6,0,0,0,6,6,0,14,0,3,,,0,Matches
Fred,br BRA,MF,32-185,2.3,0,0,0,1,2,0,1,2,2,,,0,Matches
İrfan Can Eğribayat,tr TUR,GK,27-068,2.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Çağlar Söyüncü,tr TUR,DF,29-106,2.0,0,0,0,2,1,0,2,0,3,,,0,Matches
Oğuz Aydın,tr TUR,"MF,DF",24-314,1.9,0,0,0,1,2,0,7,0,3,,,0,Matches
Talisca,br BRA,MF,31-217,1.9,0,0,0,0,5,0,6,0,1,,,0,Matches
Nélson Semedo,pt POR,"MF,DF",31-294,1.6,1,0,0,2,5,0,2,1,1,,,0,Matches
Jáder Durán,co COL,FW,21-267,1.6,1,0,0,3,3,0,1,0,2,,,0,Matches
Sebastian Szymański,pl POL,MF,26-119,1.5,0,0,0,3,2,0,12,1,3,,,0,Matches
İsmail Yüksek,tr TUR,MF,26-223,1.4,0,0,0,5,3,0,1,3,3,,,0,Matches
Jayden Oosterwolde,nl NED,DF,24-133,1.3,2,1,1,3,1,0,3,1,2,,,0,Matches
İrfan Kahveci,tr TUR,MF,30-053,1.2,0,0,0,1,3,3,9,1,1,,,0,Matches
Sofyan Amrabat,ma MAR,MF,29-016,1.1,0,0,0,2,4,0,2,2,0,,,0,Matches
Yusuf Akçiçek,tr TUR,DF,19-224,1.0,0,0,0,2,1,0,0,1,0,,,0,Matches
Edson Álvarez,mx MEX,MF,27-317,1.0,0,0,0,0,1,0,0,2,0,,,0,Matches
Nene Dorgeles,ml MLI,MF,22-257,1.0,0,0,0,0,1,0,1,1,1,,,0,Matches
Dominik Livaković,hr CRO,GK,30-240,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Mert Müldür,tr TUR,DF,26-156,0.5,0,0,0,0,1,0,1,0,4,,,0,Matches
Cengiz Ünder,tr TUR,"FW,MF",28-054,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Cenk Tosun,tr TUR,"FW,MF",34-091,0.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Alexander Djiku,gh GHA,"DF,MF",31-028,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches
Squad Total,,,27.6,3.0,5,1,1,40,47,4,64,17,31,,,0,
Opponent Total,,,28.1,3.0,12,2,2,48,40,4,36,25,14,,,1,
