Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Milan Škriniar,sk SVK,DF,30-207,3.0,1,2,1,50.0,0.67,0.33,0.5,1.0,,0,0,Matches
Youssef En-Nesyri,ma MAR,FW,28-097,3.0,2,10,2,20.0,3.38,0.68,0.2,1.0,,0,0,Matches
Archie Brown,eng ENG,"MF,DF",23-101,2.6,1,6,1,16.7,2.28,0.38,0.17,1.0,,0,0,Matches
Fred,br BRA,MF,32-185,2.3,0,1,1,100.0,0.43,0.43,0.0,0.0,,0,0,Matches
İrfan Can Eğribayat,tr TUR,GK,27-068,2.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Çağlar Söyüncü,tr TUR,DF,29-106,2.0,0,2,0,0.0,1.0,0.0,0.0,,,0,0,Matches
Oğuz Aydın,tr TUR,"MF,DF",24-314,1.9,0,1,0,0.0,0.52,0.0,0.0,,,0,0,Matches
Talisca,br BRA,MF,31-217,1.9,1,12,3,25.0,6.32,1.58,0.08,0.33,,0,1,Matches
Nélson Semedo,pt POR,"MF,DF",31-294,1.6,0,1,1,100.0,0.64,0.64,0.0,0.0,,0,0,Matches
Jáder Durán,co COL,FW,21-267,1.6,0,2,1,50.0,1.29,0.64,0.0,0.0,,0,0,Matches
Sebastian Szymański,pl POL,MF,26-119,1.5,0,1,0,0.0,0.66,0.0,0.0,,,0,0,Matches
İsmail Yüksek,tr TUR,MF,26-223,1.4,0,2,1,50.0,1.45,0.73,0.0,0.0,,0,0,Matches
Jayden Oosterwolde,nl NED,DF,24-133,1.3,0,1,0,0.0,0.77,0.0,0.0,,,0,0,Matches
İrfan Kahveci,tr TUR,MF,30-053,1.2,0,4,0,0.0,3.46,0.0,0.0,,,0,0,Matches
Sofyan Amrabat,ma MAR,MF,29-016,1.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Yusuf Akçiçek,tr TUR,DF,19-224,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Edson Álvarez,mx MEX,MF,27-317,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Nene Dorgeles,ml MLI,MF,22-257,1.0,0,1,0,0.0,1.0,0.0,0.0,,,0,0,Matches
Dominik Livaković,hr CRO,GK,30-240,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Mert Müldür,tr TUR,DF,26-156,0.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Cengiz Ünder,tr TUR,"FW,MF",28-054,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Cenk Tosun,tr TUR,"FW,MF",34-091,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Alexander Djiku,gh GHA,"DF,MF",31-028,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,27.6,3.0,5,46,11,23.9,15.33,3.67,0.11,0.45,,0,1,
Opponent Total,,,28.1,3.0,2,28,6,21.4,9.33,2.0,0.07,0.33,,0,0,
