Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Abdülkerim Bardakcı,tr TUR,DF,30-364,4.0,1,0,0,2,3,0,8,3,3,,,0,Matches
Günay Güvenç,,GK,34-073,4.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Leroy Sané,de GER,MF,29-238,3.9,0,0,0,2,1,0,9,1,6,,,0,Matches
Roland Sallai,hu HUN,DF,28-107,3.9,1,0,0,8,12,0,14,3,5,,,0,Matches
Gabriel Sara,br BRA,MF,26-072,3.7,1,0,0,6,5,0,26,2,4,,,0,Matches
Lucas Torreira,uy URU,MF,29-207,3.7,1,0,0,2,2,0,0,2,4,,,0,Matches
Eren Elmalı,tr TUR,"DF,MF",25-061,3.6,0,0,0,2,1,0,10,0,3,,,0,Matches
Davinson Sánchez,co COL,DF,29-086,3.6,1,0,0,2,3,0,0,1,4,,,0,Matches
Yunus Akgün,tr TUR,MF,25-061,3.3,0,0,0,1,1,1,9,3,2,,,0,Matches
Mario Lemina,ga GAB,MF,32-005,2.1,1,0,0,6,1,0,1,3,4,,,0,Matches
Victor Osimhen,ng NGA,FW,26-251,2.3,0,0,0,3,4,2,2,0,1,,,0,Matches
Barış Alper Yılmaz,tr TUR,FW,25-106,1.9,0,0,0,2,4,1,5,1,0,,,0,Matches
Ismail Jakobs,sn SEN,DF,26-020,1.3,0,0,0,3,0,0,5,1,1,,,0,Matches
Kaan Ayhan,tr TUR,"DF,MF",30-300,0.7,0,0,0,1,1,0,1,0,4,,,0,Matches
Nicolò Zaniolo,it ITA,"FW,MF",26-066,0.6,0,0,0,1,0,0,1,0,0,,,0,Matches
Mauro Icardi,ar ARG,FW,32-199,0.6,0,0,0,0,0,0,0,0,0,,,0,Matches
Berkan Kutlu,tr TUR,MF,27-224,0.3,0,0,0,4,0,0,0,0,1,,,0,Matches
Arda Ünyay,tr TUR,DF,18-231,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Metehan Baltacı,tr TUR,DF,22-307,0.1,0,0,0,0,0,0,0,1,1,,,0,Matches
Wilfried Singo,ci CIV,"DF,MF",24-255,0.0,0,0,0,0,0,0,0,0,1,,,0,Matches
Squad Total,,,28.6,4.0,7,0,0,45,38,4,91,21,44,,,0,
Opponent Total,,,28.3,4.0,9,2,0,40,42,8,52,24,42,,,1,
