Player,Nation,Pos,Age,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Abdülkerim Bardakcı,tr TUR,DF,30-364,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,3.0,13.0,1.0,12.0,3.0,,Matches
Günay Güvenç,,GK,34-073,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,3.0,13.0,1.0,12.0,3.0,,Matches
Leroy Sané,de GER,MF,29-238,4,352.0,88.0,97.8,3.9,4,88.0,3,0,,0,3.0,12.0,1.0,11.0,2.81,-8.44,Matches
Roland Sallai,hu HUN,DF,28-107,4,348.0,87.0,96.7,3.9,4,87.0,3,0,,0,3.0,11.0,1.0,10.0,2.59,-12.41,Matches
Gabriel Sara,br BRA,MF,26-072,4,333.0,83.0,92.5,3.7,4,83.0,2,0,,0,3.0,10.0,1.0,9.0,2.43,-7.57,Matches
Lucas Torreira,uy URU,MF,29-207,4,329.0,82.0,91.4,3.7,4,82.0,2,0,,0,3.0,11.0,1.0,10.0,2.74,-3.07,Matches
Eren Elmalı,tr TUR,"DF,MF",25-061,4,326.0,82.0,90.6,3.6,4,82.0,2,0,,0,3.0,12.0,1.0,11.0,3.04,0.39,Matches
Davinson Sánchez,co COL,DF,29-086,4,325.0,81.0,90.3,3.6,4,81.0,2,0,,0,3.0,12.0,1.0,11.0,3.05,0.47,Matches
Yunus Akgün,tr TUR,MF,25-061,4,299.0,75.0,83.1,3.3,4,75.0,0,0,,0,3.0,9.0,1.0,8.0,2.41,-3.49,Matches
Mario Lemina,ga GAB,MF,32-005,3,190.0,63.0,52.8,2.1,3,63.0,0,0,,0,3.0,6.0,0.0,6.0,2.84,-0.33,Matches
Victor Osimhen,ng NGA,FW,26-251,3,209.0,70.0,58.1,2.3,2,90.0,1,1,30.0,0,3.0,8.0,1.0,7.0,3.01,0.03,Matches
Barış Alper Yılmaz,tr TUR,FW,25-106,2,170.0,85.0,47.2,1.9,2,85.0,1,0,,0,3.0,5.0,0.0,5.0,2.65,-0.67,Matches
Ismail Jakobs,sn SEN,DF,26-020,4,120.0,30.0,33.3,1.3,1,71.0,0,3,16.0,0,3.0,4.0,0.0,4.0,3.0,0.0,Matches
Kaan Ayhan,tr TUR,"DF,MF",30-300,4,63.0,16.0,17.5,0.7,0,,0,4,16.0,0,3.0,4.0,0.0,4.0,5.71,3.29,Matches
Nicolò Zaniolo,it ITA,"FW,MF",26-066,4,54.0,14.0,15.0,0.6,0,,0,4,14.0,0,3.0,4.0,0.0,4.0,6.67,4.31,Matches
Mauro Icardi,ar ARG,FW,32-199,3,53.0,18.0,14.7,0.6,0,,0,3,18.0,0,3.0,4.0,1.0,3.0,5.09,2.46,Matches
Berkan Kutlu,tr TUR,MF,27-224,2,31.0,16.0,8.6,0.3,0,,0,2,16.0,2,3.0,2.0,0.0,2.0,5.81,3.07,Matches
Arda Ünyay,tr TUR,DF,18-231,1,25.0,25.0,6.9,0.3,0,,0,1,25.0,3,3.0,0.0,0.0,0.0,0.0,-3.22,Matches
Metehan Baltacı,tr TUR,DF,22-307,1,12.0,12.0,3.3,0.1,0,,0,1,12.0,3,3.0,2.0,0.0,2.0,15.0,12.41,Matches
Wilfried Singo,ci CIV,"DF,MF",24-255,1,1.0,1.0,0.3,0.0,0,,0,1,1.0,0,3.0,1.0,0.0,1.0,90.0,87.24,Matches
Yusuf Demir,at AUT,MF,22-096,0,,,,,0,,0,0,,1,,,,,,,Matches
Elias Jelert,dk DEN,DF,22-086,0,,,,,0,,0,0,,2,,,,,,,Matches
Kazımcan Karataş,tr TUR,DF,22-233,0,,,,,0,,0,0,,1,,,,,,,Matches
Ahmed Kutucu,tr TUR,"FW,MF",25-189,0,,,,,0,,0,0,,4,,,,,,,Matches
Jankat Yilmaz,tr TUR,GK,21-021,0,,,,,0,,0,0,,4,,,,,,,Matches
Squad Total,,,28.6,4,360.0,90.0,100.0,4.0,44,83.0,24,20,16.0,20,3.0,13.0,1.0,12.0,3.0,,
Opponent Total,,,28.3,4,360.0,90.0,100.0,4.0,44,83.0,24,18,24.0,21,0.0,1.0,13.0,-12.0,-3.0,,
