Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Abdülkerim Bardakcı,tr TUR,DF,30-364,4.0,0,2,1,50.0,0.5,0.25,0.0,0.0,,0,0,Matches
Günay Güvenç,,GK,34-073,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Leroy Sané,de GER,MF,29-238,3.9,1,12,3,25.0,3.07,0.77,0.08,0.33,,0,0,Matches
Roland Sallai,hu HUN,DF,28-107,3.9,0,3,1,33.3,0.78,0.26,0.0,0.0,,0,0,Matches
Gabriel Sara,br BRA,MF,26-072,3.7,0,6,1,16.7,1.62,0.27,0.0,0.0,,0,0,Matches
Lucas Torreira,uy URU,MF,29-207,3.7,0,5,2,40.0,1.37,0.55,0.0,0.0,,0,0,Matches
Eren Elmalı,tr TUR,"DF,MF",25-061,3.6,3,5,3,60.0,1.38,0.83,0.6,1.0,,0,0,Matches
Davinson Sánchez,co COL,DF,29-086,3.6,1,2,1,50.0,0.55,0.28,0.5,1.0,,0,0,Matches
Yunus Akgün,tr TUR,MF,25-061,3.3,0,7,1,14.3,2.11,0.3,0.0,0.0,,0,0,Matches
Mario Lemina,ga GAB,MF,32-005,2.1,0,7,2,28.6,3.32,0.95,0.0,0.0,,0,0,Matches
Victor Osimhen,ng NGA,FW,26-251,2.3,2,11,5,45.5,4.74,2.15,0.18,0.4,,0,0,Matches
Barış Alper Yılmaz,tr TUR,FW,25-106,1.9,3,10,6,60.0,5.29,3.18,0.1,0.17,,2,2,Matches
Ismail Jakobs,sn SEN,DF,26-020,1.3,0,1,0,0.0,0.75,0.0,0.0,,,0,0,Matches
Kaan Ayhan,tr TUR,"DF,MF",30-300,0.7,0,2,0,0.0,2.86,0.0,0.0,,,0,0,Matches
Nicolò Zaniolo,it ITA,"FW,MF",26-066,0.6,0,2,1,50.0,3.33,1.67,0.0,0.0,,0,0,Matches
Mauro Icardi,ar ARG,FW,32-199,0.6,2,3,2,66.7,5.09,3.4,0.67,1.0,,0,0,Matches
Berkan Kutlu,tr TUR,MF,27-224,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Arda Ünyay,tr TUR,DF,18-231,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Metehan Baltacı,tr TUR,DF,22-307,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Wilfried Singo,ci CIV,"DF,MF",24-255,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,28.6,4.0,12,78,29,37.2,19.5,7.25,0.13,0.34,,2,2,
Opponent Total,,,28.3,4.0,1,28,10,35.7,7.0,2.5,0.04,0.1,,0,0,
