Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Myenty Abena,sr SUR,DF,30-268,4.0,1,0,0,2,4,1,0,1,4,,,0,Matches
Kévin Rodrigues,pt POR,DF,31-185,4.0,1,0,0,4,0,0,5,5,7,,,0,Matches
Deian Sorescu,ro ROU,"MF,DF",28-008,3.9,0,0,0,3,3,3,15,3,2,,,0,Matches
Kacper Kozłowski,pl POL,MF,21-325,3.8,1,0,0,8,10,0,2,0,1,,,0,Matches
Alexandru Maxim,ro ROU,"MF,FW",35-060,3.6,1,0,0,3,9,1,23,2,0,,,0,Matches
Emmanuel Boateng,gh GHA,FW,29-106,3.2,1,0,0,8,7,2,0,0,2,,,0,Matches
Mustafa Burak Bozan,,GK,25-014,2.7,1,1,0,1,0,0,0,0,0,,,0,Matches
Christopher Lungoyi,ch SUI,"MF,FW",25-064,2.5,0,0,0,6,6,1,1,0,2,,,0,Matches
Arda Kızıldağ,tr TUR,DF,26-326,2.5,1,0,0,3,1,0,0,1,2,,,0,Matches
Semih Güler,,DF,30-280,2.5,1,0,0,1,3,1,0,2,3,,,0,Matches
Ogün Özçiçek,,MF,26-225,2.2,1,0,0,6,5,0,1,1,4,,,0,Matches
Badou Ndiaye,sn SEN,MF,34-314,2.1,1,0,0,3,8,0,1,0,3,,,0,Matches
Juninho Bacuna,cw CUW,MF,28-030,2.0,1,0,0,4,2,0,1,3,2,,,0,Matches
Enver Kulasin,ba BIH,MF,21-360,1.2,0,0,0,0,2,0,1,0,2,,,0,Matches
Zafer Görgen,,GK,25-077,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Melih Kabasakal,,MF,29-200,1.0,1,0,0,2,1,1,1,0,3,,,0,Matches
Salem M'bakata,cd COD,DF,27-140,0.4,0,0,0,0,0,0,0,1,0,,,0,Matches
Ali Kalın,,FW,17-167,0.4,0,0,0,0,1,0,0,2,1,,,0,Matches
Mirza Cihan,,FW,24-315,0.3,0,0,0,1,1,0,0,1,0,,,0,Matches
Sokratis Dioudis,gr GRE,GK,32-215,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Luis Pérez,es ESP,DF,30-214,0.2,0,0,0,0,0,0,3,0,0,,,0,Matches
Squad Total,,,28.5,4.0,12,1,0,55,64,10,54,22,38,,,0,
Opponent Total,,,28.7,4.0,16,1,1,65,50,7,73,33,36,,,0,
