Player,Nation,Pos,Age,MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Myenty Abena,sr SUR,DF,30-268,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,5.0,9.0,-4.0,-1.0,,Matches
Kévin Rodrigues,pt POR,DF,31-185,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,5.0,9.0,-4.0,-1.0,,Matches
Deian Sorescu,ro ROU,"MF,DF",28-008,4,348.0,87.0,96.7,3.9,4,87.0,3,0,,0,1.5,5.0,9.0,-4.0,-1.03,-1.03,Matches
Kacper Kozłowski,pl POL,MF,21-325,4,346.0,87.0,96.1,3.8,4,87.0,3,0,,0,1.5,5.0,8.0,-3.0,-0.78,5.65,Matches
Alexandru Maxim,ro ROU,"MF,FW",35-060,4,322.0,81.0,89.4,3.6,4,81.0,0,0,,0,1.5,4.0,8.0,-4.0,-1.12,-1.12,Matches
Emmanuel Boateng,gh GHA,FW,29-106,4,290.0,73.0,80.6,3.2,3,86.0,2,1,32.0,0,1.5,3.0,9.0,-6.0,-1.86,-4.43,Matches
Mustafa Burak Bozan,,GK,25-014,3,243.0,81.0,67.5,2.7,3,81.0,2,0,,0,2.0,5.0,6.0,-1.0,-0.37,1.94,Matches
Christopher Lungoyi,ch SUI,"MF,FW",25-064,4,227.0,57.0,63.1,2.5,3,64.0,0,1,35.0,0,1.5,3.0,5.0,-2.0,-0.79,0.56,Matches
Arda Kızıldağ,tr TUR,DF,26-326,3,225.0,75.0,62.5,2.5,3,75.0,2,0,,1,2.0,4.0,6.0,-2.0,-0.8,0.53,Matches
Semih Güler,,DF,30-280,3,225.0,75.0,62.5,2.5,2,90.0,2,1,45.0,1,2.0,4.0,5.0,-1.0,-0.4,1.6,Matches
Ogün Özçiçek,,MF,26-225,4,195.0,49.0,54.2,2.2,2,82.0,1,2,16.0,0,1.5,4.0,4.0,0.0,0.0,2.18,Matches
Badou Ndiaye,sn SEN,MF,34-314,4,190.0,48.0,52.8,2.1,2,66.0,0,2,30.0,0,1.5,1.0,4.0,-3.0,-1.42,-0.89,Matches
Juninho Bacuna,cw CUW,MF,28-030,4,176.0,44.0,48.9,2.0,2,73.0,1,2,16.0,0,1.5,1.0,5.0,-4.0,-2.05,-2.05,Matches
Enver Kulasin,ba BIH,MF,21-360,3,112.0,37.0,31.1,1.2,1,55.0,0,2,29.0,1,1.0,0.0,3.0,-3.0,-2.41,-2.05,Matches
Zafer Görgen,,GK,25-077,1,90.0,90.0,25.0,1.0,1,90.0,1,0,,2,0.0,0.0,3.0,-3.0,-3.0,-2.67,Matches
Melih Kabasakal,,MF,29-200,1,90.0,90.0,25.0,1.0,1,90.0,1,0,,0,3.0,3.0,2.0,1.0,1.0,2.67,Matches
Salem M'bakata,cd COD,DF,27-140,1,34.0,34.0,9.4,0.4,1,34.0,0,0,,0,0.0,0.0,2.0,-2.0,-5.29,-4.74,Matches
Ali Kalın,,FW,17-167,1,35.0,35.0,9.7,0.4,0,,0,1,35.0,2,0.0,0.0,1.0,-1.0,-2.57,-1.74,Matches
Mirza Cihan,,FW,24-315,3,25.0,8.0,6.9,0.3,0,,0,3,8.0,1,1.0,0.0,1.0,-1.0,-3.6,-2.79,Matches
Sokratis Dioudis,gr GRE,GK,32-215,1,24.0,24.0,6.7,0.3,0,,0,1,24.0,0,0.0,0.0,0.0,0.0,0.0,1.07,Matches
Luis Pérez,es ESP,DF,30-214,1,16.0,16.0,4.4,0.2,0,,0,1,16.0,1,3.0,1.0,0.0,1.0,5.63,6.93,Matches
İbrahim Alkış,,GK,19-248,0,,,,,0,,0,0,,1,,,,,,,Matches
Onur Başyiğit,,DF,21-086,0,,,,,0,,0,0,,3,,,,,,,Matches
Kuzey Bulgulu,,,16-287,0,,,,,0,,0,0,,4,,,,,,,Matches
Muhammet Güneş,,MF,19-248,0,,,,,0,,0,0,,4,,,,,,,Matches
Nazim Sangaré,tr TUR,"DF,MF",31-099,0,,,,,0,,0,0,,2,,,,,,,Matches
Squad Total,,,28.5,4,360.0,90.0,100.0,4.0,44,81.0,26,17,23.0,23,1.5,5.0,9.0,-4.0,-1.0,,
Opponent Total,,,28.7,4,360.0,90.0,100.0,4.0,44,81.0,26,17,19.0,22,1.5,9.0,5.0,4.0,1.0,,
