Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Myenty Abena,sr SUR,DF,30-268,4.0,0,1,0,0.0,0.25,0.0,0.0,,,0,0,Matches
Kévin Rodrigues,pt POR,DF,31-185,4.0,0,3,0,0.0,0.75,0.0,0.0,,,0,0,Matches
Deian Sorescu,ro ROU,"MF,DF",28-008,3.9,1,13,4,30.8,3.36,1.03,0.08,0.25,,0,0,Matches
Kacper Kozłowski,pl POL,MF,21-325,3.8,0,6,2,33.3,1.56,0.52,0.0,0.0,,0,0,Matches
Alexandru Maxim,ro ROU,"MF,FW",35-060,3.6,1,8,2,25.0,2.24,0.56,0.0,0.0,,1,1,Matches
Emmanuel Boateng,gh GHA,FW,29-106,3.2,0,8,1,12.5,2.48,0.31,0.0,0.0,,0,0,Matches
Mustafa Burak Bozan,,GK,25-014,2.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Christopher Lungoyi,ch SUI,"MF,FW",25-064,2.5,1,5,1,20.0,1.98,0.4,0.2,1.0,,0,0,Matches
Arda Kızıldağ,tr TUR,DF,26-326,2.5,1,2,1,50.0,0.8,0.4,0.5,1.0,,0,0,Matches
Semih Güler,,DF,30-280,2.5,0,1,0,0.0,0.4,0.0,0.0,,,0,0,Matches
Ogün Özçiçek,,MF,26-225,2.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Badou Ndiaye,sn SEN,MF,34-314,2.1,0,2,0,0.0,0.95,0.0,0.0,,,0,0,Matches
Juninho Bacuna,cw CUW,MF,28-030,2.0,0,3,1,33.3,1.53,0.51,0.0,0.0,,0,0,Matches
Enver Kulasin,ba BIH,MF,21-360,1.2,0,2,1,50.0,1.61,0.8,0.0,0.0,,0,0,Matches
Zafer Görgen,,GK,25-077,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Melih Kabasakal,,MF,29-200,1.0,1,1,1,100.0,1.0,1.0,1.0,1.0,,0,0,Matches
Salem M'bakata,cd COD,DF,27-140,0.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Ali Kalın,,FW,17-167,0.4,0,1,0,0.0,2.57,0.0,0.0,,,0,0,Matches
Mirza Cihan,,FW,24-315,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Sokratis Dioudis,gr GRE,GK,32-215,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Luis Pérez,es ESP,DF,30-214,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,28.5,4.0,5,56,14,25.0,14.0,3.5,0.07,0.29,,1,1,
Opponent Total,,,28.7,4.0,9,57,21,36.8,14.25,5.25,0.11,0.29,,3,3,
