Player,Nation,Pos,Age,MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Matches
Myenty Abena,sr SUR,DF,30-268,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kévin Rodrigues,pt POR,DF,31-185,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Deian Sorescu,ro ROU,"MF,DF",28-008,4,4,348.0,3.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches
Kacper Kozłowski,pl POL,MF,21-325,4,4,346.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexandru Maxim,ro ROU,"MF,FW",35-060,4,4,322.0,3.6,1.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.28,0.84,1.12,0.0,0.84,Matches
Emmanuel Boateng,gh GHA,FW,29-106,4,3,290.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mustafa Burak Bozan,,GK,25-014,3,3,243.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.37,0.37,0.0,0.37,Matches
Christopher Lungoyi,ch SUI,"MF,FW",25-064,4,3,227.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.4,Matches
Arda Kızıldağ,tr TUR,DF,26-326,3,3,225.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,0.4,0.4,0.4,Matches
Semih Güler,,DF,30-280,3,2,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ogün Özçiçek,,MF,26-225,4,2,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Badou Ndiaye,sn SEN,MF,34-314,4,2,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juninho Bacuna,cw CUW,MF,28-030,4,2,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Enver Kulasin,ba BIH,MF,21-360,3,1,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zafer Görgen,,GK,25-077,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Melih Kabasakal,,MF,29-200,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Matches
Salem M'bakata,cd COD,DF,27-140,1,1,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ali Kalın,,FW,17-167,1,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mirza Cihan,,FW,24-315,3,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sokratis Dioudis,gr GRE,GK,32-215,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Pérez,es ESP,DF,30-214,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
İbrahim Alkış,,GK,19-248,0,0,,,,,,,,,,,,,,,,Matches
Onur Başyiğit,,DF,21-086,0,0,,,,,,,,,,,,,,,,Matches
Kuzey Bulgulu,,,16-287,0,0,,,,,,,,,,,,,,,,Matches
Muhammet Güneş,,MF,19-248,0,0,,,,,,,,,,,,,,,,Matches
Nazim Sangaré,tr TUR,"DF,MF",31-099,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.5,4,44,360.0,4.0,5.0,4.0,9.0,4.0,1.0,1.0,12.0,1.0,1.25,1.0,2.25,1.0,2.0,
Opponent Total,,,28.7,4,44,360.0,4.0,9.0,6.0,15.0,6.0,3.0,3.0,16.0,1.0,2.25,1.5,3.75,1.5,3.0,
