Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Gökhan Akkan,tr TUR,GK,30-248,4.0,1,0,0,0,3,0,0,0,0,,,0,Matches
Dimitris Goutas,gr GRE,DF,31-155,4.0,0,0,0,0,1,0,0,2,0,,,0,Matches
Pedro Pereira,pt POR,DF,27-227,4.0,0,0,0,4,3,1,8,2,2,,,1,Matches
Žan Žužek,si SVN,"MF,DF",28-223,4.0,1,0,0,3,3,0,1,7,5,,,0,Matches
Metehan Mimaroğlu,,"MF,FW",31-061,3.3,0,0,0,1,4,2,8,0,3,,,0,Matches
Thalisson Kelven,br BRA,DF,27-122,3.4,0,0,0,4,4,0,0,5,1,,,0,Matches
Göktan Gürpüz,de GER,"MF,FW",22-227,3.1,1,0,0,3,2,0,10,2,1,,,0,Matches
Matěj Hanousek,cz CZE,DF,32-096,3.0,0,0,0,1,0,0,2,4,1,,,0,Matches
Michał Nalepa,pl POL,"MF,FW",30-166,2.9,2,1,1,7,3,0,8,1,4,,,0,Matches
Abdurrahim Dursun,tr TUR,"MF,DF",26-279,2.8,0,0,0,4,1,1,11,3,5,,,0,Matches
Adama Traoré,ml MLI,MF,30-093,1.7,1,0,0,2,4,0,0,1,0,,,0,Matches
Moussa Kyabou,ml MLI,MF,27-141,1.6,0,0,0,4,1,0,1,3,3,,,0,Matches
Samed Onur,tr TUR,MF,23-053,1.6,1,0,0,4,6,0,6,1,1,,,0,Matches
Sekou Koita,ml MLI,FW,25-282,1.2,0,0,0,1,2,1,0,1,1,,,0,Matches
Daniel Popa,ro ROU,FW,31-054,0.7,0,0,0,2,0,1,0,0,1,,,0,Matches
Fıratcan Üzüm,,MF,26-094,0.5,0,0,0,0,0,0,2,0,0,,,0,Matches
Oghenekaro Etebo,ng NGA,MF,29-301,0.5,0,0,0,0,2,0,0,1,1,,,0,Matches
Oğulcan Ülgün,tr TUR,MF,27-118,0.5,0,0,0,1,3,0,0,1,0,,,0,Matches
Sinan Osmanoğlu,tr TUR,DF,35-240,0.4,0,0,0,0,0,0,0,1,2,,,0,Matches
M'Baye Niang,sn SEN,"FW,MF",30-261,0.2,0,0,0,1,3,0,0,0,0,,,0,Matches
Henry Onyekuru,ng NGA,"FW,MF",28-093,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Furkan Ayaz,,,15-340,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
Dilhan Demir,de GER,MF,22-070,0.1,0,0,0,0,0,1,0,0,0,,,0,Matches
Squad Total,,,28.6,4.0,7,1,1,42,46,7,57,35,31,,,1,
Opponent Total,,,28.7,4.0,6,0,0,48,41,12,70,14,36,,,0,
