Player,Nation,Pos,Age,MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Gökhan Akkan,tr TUR,GK,30-248,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,0.0,3.0,8.0,-5.0,-1.25,,Matches
Dimitris Goutas,gr GRE,DF,31-155,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,0.0,3.0,8.0,-5.0,-1.25,,Matches
Pedro Pereira,pt POR,DF,27-227,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,0.0,3.0,8.0,-5.0,-1.25,,Matches
Žan Žužek,si SVN,"MF,DF",28-223,4,357.0,89.0,99.2,4.0,4,89.0,3,0,,0,0.0,3.0,8.0,-5.0,-1.26,-1.26,Matches
Metehan Mimaroğlu,,"MF,FW",31-061,4,293.0,73.0,81.4,3.3,4,73.0,2,0,,0,0.0,2.0,7.0,-5.0,-1.54,-1.54,Matches
Thalisson Kelven,br BRA,DF,27-122,4,308.0,77.0,85.6,3.4,3,88.0,2,1,45.0,0,0.0,3.0,7.0,-4.0,-1.17,0.56,Matches
Göktan Gürpüz,de GER,"MF,FW",22-227,4,281.0,70.0,78.1,3.1,3,86.0,1,1,23.0,0,0.0,3.0,5.0,-2.0,-0.64,2.78,Matches
Matěj Hanousek,cz CZE,DF,32-096,4,272.0,68.0,75.6,3.0,3,83.0,2,1,23.0,0,0.0,3.0,6.0,-3.0,-0.99,1.05,Matches
Michał Nalepa,pl POL,"MF,FW",30-166,3,260.0,87.0,72.2,2.9,3,87.0,1,0,,0,0.0,1.0,4.0,-3.0,-1.04,0.76,Matches
Abdurrahim Dursun,tr TUR,"MF,DF",26-279,4,252.0,63.0,70.0,2.8,3,73.0,0,1,34.0,0,0.0,2.0,4.0,-2.0,-0.71,1.79,Matches
Adama Traoré,ml MLI,MF,30-093,2,157.0,79.0,43.6,1.7,2,79.0,1,0,,0,0.0,2.0,4.0,-2.0,-1.15,0.18,Matches
Moussa Kyabou,ml MLI,MF,27-141,2,146.0,73.0,40.6,1.6,2,73.0,1,0,,0,0.0,1.0,5.0,-4.0,-2.47,-2.05,Matches
Samed Onur,tr TUR,MF,23-053,4,146.0,37.0,40.6,1.6,1,71.0,0,3,25.0,0,0.0,1.0,2.0,-1.0,-0.62,1.07,Matches
Sekou Koita,ml MLI,FW,25-282,2,112.0,56.0,31.1,1.2,1,90.0,1,1,22.0,0,0.0,1.0,4.0,-3.0,-2.41,-1.68,Matches
Daniel Popa,ro ROU,FW,31-054,1,67.0,67.0,18.6,0.7,1,67.0,0,0,,0,0.0,0.0,2.0,-2.0,-2.69,-1.77,Matches
Fıratcan Üzüm,,MF,26-094,1,45.0,45.0,12.5,0.5,1,45.0,0,0,,0,0.0,0.0,1.0,-1.0,-2.0,-0.86,Matches
Oghenekaro Etebo,ng NGA,MF,29-301,1,41.0,41.0,11.4,0.5,1,41.0,0,0,,0,0.0,0.0,1.0,-1.0,-2.2,-1.07,Matches
Oğulcan Ülgün,tr TUR,MF,27-118,1,45.0,45.0,12.5,0.5,0,,0,1,45.0,1,0.0,1.0,0.0,1.0,2.0,3.71,Matches
Sinan Osmanoğlu,tr TUR,DF,35-240,3,33.0,11.0,9.2,0.4,0,,0,3,11.0,1,0.0,0.0,1.0,-1.0,-2.73,-1.63,Matches
M'Baye Niang,sn SEN,"FW,MF",30-261,1,21.0,21.0,5.8,0.2,0,,0,1,21.0,0,0.0,0.0,0.0,0.0,0.0,1.33,Matches
Henry Onyekuru,ng NGA,"FW,MF",28-093,1,19.0,19.0,5.3,0.2,0,,0,1,19.0,0,0.0,0.0,1.0,-1.0,-4.74,-3.68,Matches
Furkan Ayaz,,,15-340,2,15.0,8.0,4.2,0.2,0,,0,2,8.0,2,0.0,1.0,0.0,1.0,6.0,7.57,Matches
Dilhan Demir,de GER,MF,22-070,1,9.0,9.0,2.5,0.1,0,,0,1,9.0,3,0.0,0.0,1.0,-1.0,-10.0,-8.97,Matches
Mehmet Akbal,,MF,18-021,0,,,,,0,,0,0,,1,,,,,,,Matches
Yiğit Aydar,,DF,16-351,0,,,,,0,,0,0,,3,,,,,,,Matches
Ebrar Aydın,,GK,24-341,0,,,,,0,,0,0,,4,,,,,,,Matches
Erhan Erentürk,tr TUR,GK,30-099,0,,,,,0,,0,0,,4,,,,,,,Matches
Mikail Okyar,,MF,26-226,0,,,,,0,,0,0,,1,,,,,,,Matches
Yusuf Temel,,FW,17-217,0,,,,,0,,0,0,,1,,,,,,,Matches
Squad Total,,,28.6,4,360.0,90.0,100.0,4.0,44,82.0,26,17,21.0,21,0.0,3.0,8.0,-5.0,-1.25,,
Opponent Total,,,28.7,4,360.0,90.0,100.0,4.0,44,82.0,24,20,19.0,20,3.0,8.0,3.0,5.0,1.25,,
