Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Gökhan Akkan,tr TUR,GK,30-248,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Dimitris Goutas,gr GRE,DF,31-155,4.0,1,3,1,33.3,0.75,0.25,0.33,1.0,,0,0,Matches
Pedro Pereira,pt POR,DF,27-227,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Žan Žužek,si SVN,"MF,DF",28-223,4.0,1,6,2,33.3,1.51,0.5,0.17,0.5,,0,0,Matches
Metehan Mimaroğlu,,"MF,FW",31-061,3.3,1,11,2,18.2,3.38,0.61,0.09,0.5,,0,0,Matches
Thalisson Kelven,br BRA,DF,27-122,3.4,0,2,1,50.0,0.58,0.29,0.0,0.0,,0,0,Matches
Göktan Gürpüz,de GER,"MF,FW",22-227,3.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Matěj Hanousek,cz CZE,DF,32-096,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Michał Nalepa,pl POL,"MF,FW",30-166,2.9,0,2,1,50.0,0.69,0.35,0.0,0.0,,0,0,Matches
Abdurrahim Dursun,tr TUR,"MF,DF",26-279,2.8,0,4,1,25.0,1.43,0.36,0.0,0.0,,0,0,Matches
Adama Traoré,ml MLI,MF,30-093,1.7,0,3,0,0.0,1.72,0.0,0.0,,,0,0,Matches
Moussa Kyabou,ml MLI,MF,27-141,1.6,0,0,0,,0.0,0.0,,,,0,0,Matches
Samed Onur,tr TUR,MF,23-053,1.6,0,1,0,0.0,0.62,0.0,0.0,,,0,0,Matches
Sekou Koita,ml MLI,FW,25-282,1.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Daniel Popa,ro ROU,FW,31-054,0.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Fıratcan Üzüm,,MF,26-094,0.5,0,1,0,0.0,2.0,0.0,0.0,,,0,0,Matches
Oghenekaro Etebo,ng NGA,MF,29-301,0.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Oğulcan Ülgün,tr TUR,MF,27-118,0.5,0,1,0,0.0,2.0,0.0,0.0,,,0,0,Matches
Sinan Osmanoğlu,tr TUR,DF,35-240,0.4,0,1,1,100.0,2.73,2.73,0.0,0.0,,0,0,Matches
M'Baye Niang,sn SEN,"FW,MF",30-261,0.2,0,2,0,0.0,8.57,0.0,0.0,,,0,0,Matches
Henry Onyekuru,ng NGA,"FW,MF",28-093,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Furkan Ayaz,,,15-340,0.2,0,1,0,0.0,6.0,0.0,0.0,,,0,0,Matches
Dilhan Demir,de GER,MF,22-070,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,28.6,4.0,3,38,9,23.7,9.5,2.25,0.08,0.33,,0,0,
Opponent Total,,,28.7,4.0,7,55,14,25.5,13.75,3.5,0.09,0.36,,2,2,
