Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Malcom Bokélé,cm CMR,DF,25-206,4.0,2,0,0,2,4,0,3,2,1,,,0,Matches
Héliton,br BRA,DF,29-297,4.0,0,0,0,3,1,1,0,3,2,,,0,Matches
Mateusz Lis,pl POL,GK,28-191,4.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Amine Cherni,tn TUN,MF,24-061,4.0,0,0,0,10,4,0,28,2,4,,,0,Matches
Arda Kurtulan,al ALB,MF,22-291,4.0,2,0,0,7,6,0,13,11,3,,,0,Matches
Rhaldney,br BRA,MF,26-290,3.8,0,0,0,7,3,0,10,4,9,,,0,Matches
Janderson,br BRA,FW,26-123,3.4,0,0,0,6,1,1,2,0,1,,,0,Matches
Junior Olaitan,bj BEN,MF,23-120,3.1,0,0,0,6,5,0,14,3,5,,,0,Matches
Anthony Dennis,ng NGA,MF,21-077,3.2,1,0,0,10,0,0,2,8,4,,,0,Matches
Juan Santos,br BRA,FW,23-184,2.4,2,1,1,5,1,2,2,1,2,,,0,Matches
Furkan Bayır,tr TUR,DF,25-209,2.1,1,0,0,3,2,0,0,3,2,,,0,Matches
Allan Godói,br BRA,DF,32-155,1.5,1,0,0,2,3,0,0,2,1,,,0,Matches
Emersonn,br BRA,FW,21-052,1.4,0,0,0,7,5,0,2,0,4,,,0,Matches
Novatus Dismas,tz TAN,MF,23-004,1.3,1,0,0,3,0,0,0,2,3,,,0,Matches
Taha Altıkardeş,tr TUR,DF,22-015,0.6,0,0,0,0,0,0,2,1,0,,,0,Matches
Efkan Bekiroglu,,MF,29-357,0.4,0,0,0,2,0,0,4,1,0,,,0,Matches
Ibrahim Sabra,jo JOR,FW,19-217,0.4,1,0,0,1,0,0,1,0,0,,,0,Matches
Ahmed Ildiz,tr TUR,MF,28-281,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
İsmail Köybaşı,tr TUR,DF,36-058,0.0,2,1,1,0,0,0,0,0,1,,,0,Matches
Squad Total,,,25.4,4.0,13,2,2,74,36,4,83,43,42,,,0,
Opponent Total,,,27.5,4.0,10,1,1,39,69,7,75,31,38,,,0,
