Player,Nation,Pos,Age,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Malcom Bokélé,cm CMR,DF,25-206,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.0,6.0,1.0,5.0,1.25,,Matches
Héliton,br BRA,DF,29-297,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.0,6.0,1.0,5.0,1.25,,Matches
Mateusz Lis,pl POL,GK,28-191,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.0,6.0,1.0,5.0,1.25,,Matches
Amine Cherni,tn TUN,MF,24-061,4,359.0,90.0,99.7,4.0,4,90.0,3,0,,0,2.0,6.0,1.0,5.0,1.25,1.25,Matches
Arda Kurtulan,al ALB,MF,22-291,4,357.0,89.0,99.2,4.0,4,89.0,2,0,,0,2.0,6.0,1.0,5.0,1.26,1.26,Matches
Rhaldney,br BRA,MF,26-290,4,345.0,86.0,95.8,3.8,4,86.0,1,0,,0,2.0,6.0,0.0,6.0,1.57,7.57,Matches
Janderson,br BRA,FW,26-123,4,306.0,77.0,85.0,3.4,4,77.0,1,0,,0,2.0,4.0,1.0,3.0,0.88,-2.45,Matches
Junior Olaitan,bj BEN,MF,23-120,4,277.0,69.0,76.9,3.1,4,69.0,0,0,,0,2.0,4.0,0.0,4.0,1.3,0.22,Matches
Anthony Dennis,ng NGA,MF,21-077,4,287.0,72.0,79.7,3.2,3,81.0,1,1,45.0,0,2.0,6.0,1.0,5.0,1.57,1.57,Matches
Juan Santos,br BRA,FW,23-184,3,220.0,73.0,61.1,2.4,3,73.0,0,0,,0,1.67,2.0,0.0,2.0,0.82,-1.11,Matches
Furkan Bayır,tr TUR,DF,25-209,4,190.0,48.0,52.8,2.1,2,90.0,2,2,5.0,0,2.0,5.0,1.0,4.0,1.89,1.37,Matches
Allan Godói,br BRA,DF,32-155,2,135.0,68.0,37.5,1.5,1,90.0,1,1,45.0,0,2.0,3.0,0.0,3.0,2.0,1.2,Matches
Emersonn,br BRA,FW,21-052,3,125.0,42.0,34.7,1.4,1,86.0,0,2,20.0,0,2.33,4.0,0.0,4.0,2.88,2.5,Matches
Novatus Dismas,tz TAN,MF,23-004,4,119.0,30.0,33.1,1.3,1,45.0,0,3,25.0,0,2.0,0.0,1.0,-1.0,-0.76,-3.0,Matches
Taha Altıkardeş,tr TUR,DF,22-015,4,52.0,13.0,14.4,0.6,1,45.0,0,3,2.0,0,2.0,0.0,0.0,0.0,0.0,-1.46,Matches
Efkan Bekiroglu,,MF,29-357,3,39.0,13.0,10.8,0.4,0,,0,3,13.0,1,1.67,0.0,1.0,-1.0,-2.31,-3.99,Matches
Ibrahim Sabra,jo JOR,FW,19-217,3,35.0,12.0,9.7,0.4,0,,0,3,12.0,1,2.33,2.0,1.0,1.0,2.57,1.46,Matches
Ahmed Ildiz,tr TUR,MF,28-281,1,3.0,3.0,0.8,0.0,0,,0,1,3.0,2,3.0,0.0,0.0,0.0,0.0,-1.26,Matches
İsmail Köybaşı,tr TUR,DF,36-058,1,1.0,1.0,0.3,0.0,0,,0,1,1.0,1,1.0,0.0,0.0,0.0,0.0,-1.25,Matches
Uğur Kaan Yıldız,tr TUR,DF,23-031,0,,,,,0,,0,0,,3,,,,,,,Matches
Ekrem Kılıçarslan,,GK,28-015,0,,,,,0,,0,0,,4,,,,,,,Matches
Ruan,br BRA,"DF,MF",30-100,0,,,,,0,,0,0,,4,,,,,,,Matches
Ege Yıldırım,,DF,18-141,0,,,,,0,,0,0,,1,,,,,,,Matches
Squad Total,,,25.4,4,360.0,90.0,100.0,4.0,44,83.0,23,20,15.0,17,2.0,6.0,1.0,5.0,1.25,,
Opponent Total,,,27.5,4,360.0,90.0,100.0,4.0,44,83.0,27,16,22.0,21,0.5,1.0,6.0,-5.0,-1.25,,
