Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Malcom Bokélé,cm CMR,DF,25-206,4.0,1,2,1,50.0,0.5,0.25,0.5,1.0,,0,0,Matches
Héliton,br BRA,DF,29-297,4.0,0,2,0,0.0,0.5,0.0,0.0,,,0,0,Matches
Mateusz Lis,pl POL,GK,28-191,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Amine Cherni,tn TUN,MF,24-061,4.0,0,3,0,0.0,0.75,0.0,0.0,,,0,0,Matches
Arda Kurtulan,al ALB,MF,22-291,4.0,0,4,0,0.0,1.01,0.0,0.0,,,0,0,Matches
Rhaldney,br BRA,MF,26-290,3.8,0,5,0,0.0,1.3,0.0,0.0,,,0,0,Matches
Janderson,br BRA,FW,26-123,3.4,1,14,6,42.9,4.12,1.76,0.07,0.17,,0,0,Matches
Junior Olaitan,bj BEN,MF,23-120,3.1,1,12,5,41.7,3.9,1.62,0.08,0.2,,0,0,Matches
Anthony Dennis,ng NGA,MF,21-077,3.2,2,5,3,60.0,1.57,0.94,0.4,0.67,,0,0,Matches
Juan Santos,br BRA,FW,23-184,2.4,0,5,4,80.0,2.05,1.64,0.0,0.0,,0,0,Matches
Furkan Bayır,tr TUR,DF,25-209,2.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Allan Godói,br BRA,DF,32-155,1.5,0,1,0,0.0,0.67,0.0,0.0,,,0,0,Matches
Emersonn,br BRA,FW,21-052,1.4,1,3,2,66.7,2.16,1.44,0.33,0.5,,0,0,Matches
Novatus Dismas,tz TAN,MF,23-004,1.3,0,2,0,0.0,1.51,0.0,0.0,,,0,0,Matches
Taha Altıkardeş,tr TUR,DF,22-015,0.6,0,2,0,0.0,3.46,0.0,0.0,,,0,0,Matches
Efkan Bekiroglu,,MF,29-357,0.4,0,2,0,0.0,4.62,0.0,0.0,,,0,0,Matches
Ibrahim Sabra,jo JOR,FW,19-217,0.4,0,1,0,0.0,2.57,0.0,0.0,,,0,0,Matches
Ahmed Ildiz,tr TUR,MF,28-281,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
İsmail Köybaşı,tr TUR,DF,36-058,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,25.4,4.0,6,63,21,33.3,15.75,5.25,0.1,0.29,,0,0,
Opponent Total,,,27.5,4.0,1,46,6,13.0,11.5,1.5,0.02,0.17,,0,1,
