Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Mortadha Ben Ouannes,tn TUN,"MF,DF",31-066,3.0,1,0,0,2,5,0,15,2,2,,,0,Matches
Andreas Gianniotis,gr GRE,GK,32-268,3.0,1,0,0,0,0,0,0,1,0,,,0,Matches
Pape Habib Guèye,sn SEN,FW,25-351,3.0,0,0,0,16,3,2,2,1,2,,,0,Matches
Haris Hajradinović,ba BIH,MF,31-200,3.0,1,0,0,5,6,0,27,1,5,,,0,Matches
Nicholas Opoku,gh GHA,DF,27-302,3.0,1,0,0,6,2,0,1,0,1,,,0,Matches
Attila Szalai,hu HUN,DF,27-229,3.0,0,0,0,5,1,0,1,2,3,,,0,Matches
Mamadou Fall,sn SEN,MF,33-249,3.0,0,0,0,5,3,2,5,1,2,,,0,Matches
Andri Fannar Baldursson,is ISL,MF,23-239,2.9,0,0,0,3,5,0,0,6,5,,,0,Matches
Cafú,pt POR,MF,32-192,2.1,0,0,0,2,3,0,2,0,1,,,0,Matches
Cláudio Winck,br BRA,DF,31-144,1.7,2,0,0,3,1,1,4,2,0,,,0,Matches
Jhon Espinoza,ec ECU,DF,26-194,1.7,0,0,0,2,2,0,7,3,1,,,0,Matches
Ali Yavuz Kol,tr TUR,MF,24-220,1.3,0,0,0,3,0,0,8,1,1,,,0,Matches
Atakan Müjde,,MF,22-224,0.7,2,0,0,3,2,0,2,3,1,,,0,Matches
Godfried Frimpong,nl NED,DF,26-138,0.7,0,0,0,1,1,0,2,1,0,,,0,Matches
Yusuf Barasi,tr TUR,FW,22-159,0.5,1,0,0,3,1,0,2,0,0,,,0,Matches
Cem Üstündag,at AUT,MF,24-229,0.3,0,0,0,0,3,0,1,2,1,,,0,Matches
Kubilay Kanatsızkuş,tr TUR,"FW,MF",28-162,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Berk Yıldızlı,,FW,20-079,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,28.9,3.0,9,0,0,60,38,5,79,26,25,,,0,
Opponent Total,,,28.6,3.0,9,0,0,43,57,6,30,19,24,,,0,
