Player,Nation,Pos,Age,MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Mortadha Ben Ouannes,tn TUN,"MF,DF",31-066,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,3.0,6.0,-3.0,-1.0,,Matches
Andreas Gianniotis,gr GRE,GK,32-268,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,3.0,6.0,-3.0,-1.0,,Matches
Pape Habib Guèye,sn SEN,FW,25-351,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,3.0,6.0,-3.0,-1.0,,Matches
Haris Hajradinović,ba BIH,MF,31-200,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,3.0,6.0,-3.0,-1.0,,Matches
Nicholas Opoku,gh GHA,DF,27-302,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,3.0,6.0,-3.0,-1.0,,Matches
Attila Szalai,hu HUN,DF,27-229,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,3.0,6.0,-3.0,-1.0,,Matches
Mamadou Fall,sn SEN,MF,33-249,3,266.0,89.0,98.5,3.0,3,89.0,2,0,,0,0.0,3.0,6.0,-3.0,-1.02,-1.02,Matches
Andri Fannar Baldursson,is ISL,MF,23-239,3,257.0,86.0,95.2,2.9,3,86.0,0,0,,0,0.0,3.0,6.0,-3.0,-1.05,-1.05,Matches
Cafú,pt POR,MF,32-192,3,185.0,62.0,68.5,2.1,2,78.0,0,1,29.0,0,0.0,3.0,3.0,0.0,0.0,3.18,Matches
Cláudio Winck,br BRA,DF,31-144,2,156.0,78.0,57.8,1.7,2,78.0,1,0,,0,0.0,1.0,2.0,-1.0,-0.58,1.0,Matches
Jhon Espinoza,ec ECU,DF,26-194,2,153.0,77.0,56.7,1.7,2,77.0,1,0,,0,0.0,3.0,5.0,-2.0,-1.18,-0.41,Matches
Ali Yavuz Kol,tr TUR,MF,24-220,3,121.0,40.0,44.8,1.3,1,72.0,0,2,25.0,0,0.0,2.0,1.0,1.0,0.74,3.16,Matches
Atakan Müjde,,MF,22-224,2,63.0,32.0,23.3,0.7,1,45.0,0,1,18.0,1,0.0,0.0,3.0,-3.0,-4.29,-4.29,Matches
Godfried Frimpong,nl NED,DF,26-138,1,61.0,61.0,22.6,0.7,1,61.0,0,0,,2,0.0,0.0,2.0,-2.0,-2.95,-2.52,Matches
Yusuf Barasi,tr TUR,FW,22-159,2,45.0,23.0,16.7,0.5,0,,0,2,23.0,0,0.0,0.0,1.0,-1.0,-2.0,-1.2,Matches
Cem Üstündag,at AUT,MF,24-229,2,30.0,15.0,11.1,0.3,0,,0,2,15.0,1,0.0,0.0,1.0,-1.0,-3.0,-2.25,Matches
Kubilay Kanatsızkuş,tr TUR,"FW,MF",28-162,2,10.0,5.0,3.7,0.1,0,,0,2,5.0,0,0.0,0.0,0.0,0.0,0.0,1.04,Matches
Berk Yıldızlı,,FW,20-079,1,3.0,3.0,1.1,0.0,0,,0,1,3.0,0,0.0,0.0,0.0,0.0,0.0,1.01,Matches
Adnan Aktas,,DF,18-300,0,,,,,0,,0,0,,1,,,,,,,Matches
Taylan Aydın,tr TUR,DF,19-208,0,,,,,0,,0,0,,3,,,,,,,Matches
Ali Emre Yanar,,GK,27-114,0,,,,,0,,0,0,,3,,,,,,,Matches
Yasin Eratilla,,FW,21-154,0,,,,,0,,0,0,,2,,,,,,,Matches
Berkay Muratoğlu,tr TUR,DF,17-247,0,,,,,0,,0,0,,2,,,,,,,Matches
Loret Sadiku,al ALB,"DF,MF",34-040,0,,,,,0,,0,0,,1,,,,,,,Matches
Oğuzhan Yılmaz,,MF,22-081,0,,,,,0,,0,0,,2,,,,,,,Matches
Squad Total,,,28.9,3,270.0,90.0,100.0,3.0,33,84.0,22,11,17.0,18,0.0,3.0,6.0,-3.0,-1.0,,
Opponent Total,,,28.6,3,270.0,90.0,100.0,3.0,33,84.0,20,13,16.0,17,3.0,6.0,3.0,3.0,1.0,,
