Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Mortadha Ben Ouannes,tn TUN,"MF,DF",31-066,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Andreas Gianniotis,gr GRE,GK,32-268,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Pape Habib Guèye,sn SEN,FW,25-351,3.0,2,6,2,33.3,2.0,0.67,0.33,1.0,,0,0,Matches
Haris Hajradinović,ba BIH,MF,31-200,3.0,1,11,4,36.4,3.67,1.33,0.0,0.0,,1,1,Matches
Nicholas Opoku,gh GHA,DF,27-302,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Attila Szalai,hu HUN,DF,27-229,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Mamadou Fall,sn SEN,MF,33-249,3.0,0,4,1,25.0,1.35,0.34,0.0,0.0,,0,0,Matches
Andri Fannar Baldursson,is ISL,MF,23-239,2.9,0,3,0,0.0,1.05,0.0,0.0,,,0,0,Matches
Cafú,pt POR,MF,32-192,2.1,0,2,0,0.0,0.97,0.0,0.0,,,0,0,Matches
Cláudio Winck,br BRA,DF,31-144,1.7,0,1,0,0.0,0.58,0.0,0.0,,,0,0,Matches
Jhon Espinoza,ec ECU,DF,26-194,1.7,0,1,0,0.0,0.59,0.0,0.0,,,0,0,Matches
Ali Yavuz Kol,tr TUR,MF,24-220,1.3,0,6,0,0.0,4.46,0.0,0.0,,,0,0,Matches
Atakan Müjde,,MF,22-224,0.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Godfried Frimpong,nl NED,DF,26-138,0.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Yusuf Barasi,tr TUR,FW,22-159,0.5,0,1,1,100.0,2.0,2.0,0.0,0.0,,0,0,Matches
Cem Üstündag,at AUT,MF,24-229,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Kubilay Kanatsızkuş,tr TUR,"FW,MF",28-162,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Berk Yıldızlı,,FW,20-079,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,28.9,3.0,3,38,8,21.1,12.67,2.67,0.05,0.25,,1,1,
Opponent Total,,,28.6,3.0,6,36,14,38.9,12.0,4.67,0.17,0.43,,0,0,
