Player,Nation,Pos,Age,MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Matches
Mortadha Ben Ouannes,tn TUN,"MF,DF",31-066,3,3,270.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.67,0.67,0.0,0.67,Matches
Andreas Gianniotis,gr GRE,GK,32-268,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pape Habib Guèye,sn SEN,FW,25-351,3,3,270.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,0.67,Matches
Haris Hajradinović,ba BIH,MF,31-200,3,3,270.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.33,0.0,0.33,0.0,0.0,Matches
Nicholas Opoku,gh GHA,DF,27-302,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Attila Szalai,hu HUN,DF,27-229,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mamadou Fall,sn SEN,MF,33-249,3,3,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andri Fannar Baldursson,is ISL,MF,23-239,3,3,257.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cafú,pt POR,MF,32-192,3,2,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cláudio Winck,br BRA,DF,31-144,2,2,156.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jhon Espinoza,ec ECU,DF,26-194,2,2,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ali Yavuz Kol,tr TUR,MF,24-220,3,1,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Atakan Müjde,,MF,22-224,2,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Godfried Frimpong,nl NED,DF,26-138,1,1,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yusuf Barasi,tr TUR,FW,22-159,2,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cem Üstündag,at AUT,MF,24-229,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kubilay Kanatsızkuş,tr TUR,"FW,MF",28-162,2,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Berk Yıldızlı,,FW,20-079,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adnan Aktas,,DF,18-300,0,0,,,,,,,,,,,,,,,,Matches
Taylan Aydın,tr TUR,DF,19-208,0,0,,,,,,,,,,,,,,,,Matches
Ali Emre Yanar,,GK,27-114,0,0,,,,,,,,,,,,,,,,Matches
Yasin Eratilla,,FW,21-154,0,0,,,,,,,,,,,,,,,,Matches
Berkay Muratoğlu,tr TUR,DF,17-247,0,0,,,,,,,,,,,,,,,,Matches
Loret Sadiku,al ALB,"DF,MF",34-040,0,0,,,,,,,,,,,,,,,,Matches
Oğuzhan Yılmaz,,MF,22-081,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.9,3,33,270.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,9.0,0.0,1.0,0.67,1.67,0.67,1.33,
Opponent Total,,,28.6,3,33,270.0,3.0,6.0,5.0,11.0,6.0,0.0,0.0,9.0,0.0,2.0,1.67,3.67,2.0,3.67,
