Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Bilal Bayazit,nl NED,GK,26-151,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",31-079,3.0,2,0,0,2,1,1,24,1,2,,,0,Matches
Lionel Carole,fr FRA,DF,34-147,3.0,0,0,0,1,5,0,3,5,4,,,0,Matches
Stefano Denswil,sr SUR,DF,32-122,3.0,0,0,0,0,2,0,0,3,0,,,0,Matches
Gökhan Sazdağı,tr TUR,DF,30-351,3.0,2,0,0,7,1,0,8,2,3,,,0,Matches
João Mendes,pt POR,MF,30-320,2.8,0,0,0,3,8,0,11,2,2,,,0,Matches
László Bénes,sk SVK,MF,27-362,2.1,0,0,0,0,0,0,16,1,2,,,0,Matches
Yaw Ackah,gh GHA,MF,26-097,2.0,0,0,0,2,2,0,0,1,0,,,0,Matches
Ramazan Civelek,tr TUR,MF,29-227,1.9,0,0,0,4,3,0,4,0,2,,,0,Matches
Aaron Opoku,de GER,"MF,FW",26-162,1.7,0,0,0,3,0,0,3,0,0,,,0,Matches
Gideon Jung,de GER,"MF,DF",30-359,1.7,1,0,0,2,1,0,0,0,1,,,0,Matches
Indrit Tuci,al ALB,FW,24-357,1.3,0,0,0,4,2,1,0,1,0,,,0,Matches
Majid Hosseini,ir IRN,DF,29-078,1.0,0,0,0,1,1,0,0,2,4,,,0,Matches
Carlos Mané,gw GNB,MF,31-179,1.0,0,0,0,0,1,0,1,1,2,,,0,Matches
Dorukhan Toköz,tr TUR,MF,29-108,0.9,0,0,0,0,0,0,0,2,1,,,0,Matches
Abdulsamet Burak,,DF,29-116,0.8,0,0,0,2,1,0,0,0,1,,,0,Matches
Ali Karimi,ir IRN,MF,31-207,0.5,0,0,0,0,0,0,1,0,2,,,0,Matches
Kayra Cihan,,DF,17-341,0.2,0,0,0,0,0,0,0,0,1,,,0,Matches
Burak Kapacak,tr TUR,DF,25-272,0.1,0,0,0,0,2,0,0,1,1,,,0,Matches
Talha Sarıarslan,tr TUR,FW,21-231,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
Squad Total,,,29.8,3.0,5,0,0,31,30,2,71,22,29,,,0,
Opponent Total,,,28.5,3.0,6,0,0,32,30,2,44,19,26,,,0,
