Player,Nation,Pos,Age,MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Bilal Bayazit,nl NED,GK,26-151,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,2.0,6.0,-4.0,-1.33,,Matches
Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",31-079,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,2.0,6.0,-4.0,-1.33,,Matches
Lionel Carole,fr FRA,DF,34-147,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,2.0,6.0,-4.0,-1.33,,Matches
Stefano Denswil,sr SUR,DF,32-122,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,2.0,6.0,-4.0,-1.33,,Matches
Gökhan Sazdağı,tr TUR,DF,30-351,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,2.0,6.0,-4.0,-1.33,,Matches
João Mendes,pt POR,MF,30-320,3,255.0,85.0,94.4,2.8,3,85.0,1,0,,0,0.67,1.0,5.0,-4.0,-1.41,-1.41,Matches
László Bénes,sk SVK,MF,27-362,3,187.0,62.0,69.3,2.1,2,79.0,1,1,29.0,0,0.67,2.0,3.0,-1.0,-0.48,2.77,Matches
Yaw Ackah,gh GHA,MF,26-097,3,184.0,61.0,68.1,2.0,2,77.0,0,1,31.0,0,0.67,1.0,3.0,-2.0,-0.98,1.11,Matches
Ramazan Civelek,tr TUR,MF,29-227,3,171.0,57.0,63.3,1.9,2,71.0,0,1,29.0,0,0.67,1.0,2.0,-1.0,-0.53,2.2,Matches
Aaron Opoku,de GER,"MF,FW",26-162,3,155.0,52.0,57.4,1.7,2,70.0,0,1,16.0,0,0.67,2.0,4.0,-2.0,-1.16,0.4,Matches
Gideon Jung,de GER,"MF,DF",30-359,2,151.0,76.0,55.9,1.7,2,76.0,1,0,,1,0.5,0.0,5.0,-5.0,-2.98,-3.74,Matches
Indrit Tuci,al ALB,FW,24-357,2,116.0,58.0,43.0,1.3,1,85.0,0,1,31.0,1,0.5,0.0,2.0,-2.0,-1.55,-0.38,Matches
Majid Hosseini,ir IRN,DF,29-078,1,90.0,90.0,33.3,1.0,1,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,2.0,Matches
Carlos Mané,gw GNB,MF,31-179,3,88.0,29.0,32.6,1.0,1,61.0,0,2,14.0,0,0.67,1.0,4.0,-3.0,-3.07,-2.57,Matches
Dorukhan Toköz,tr TUR,MF,29-108,3,77.0,26.0,28.5,0.9,1,59.0,0,2,9.0,0,0.67,1.0,3.0,-2.0,-2.34,-1.41,Matches
Abdulsamet Burak,,DF,29-116,1,74.0,74.0,27.4,0.8,1,74.0,0,0,,2,1.0,0.0,0.0,0.0,0.0,1.84,Matches
Ali Karimi,ir IRN,MF,31-207,2,41.0,21.0,15.2,0.5,0,,0,2,21.0,0,0.5,0.0,2.0,-2.0,-4.39,-3.6,Matches
Kayra Cihan,,DF,17-341,1,16.0,16.0,5.9,0.2,0,,0,1,16.0,0,1.0,1.0,1.0,0.0,0.0,1.42,Matches
Burak Kapacak,tr TUR,DF,25-272,1,10.0,10.0,3.7,0.1,0,,0,1,10.0,2,1.0,0.0,0.0,0.0,0.0,1.38,Matches
Talha Sarıarslan,tr TUR,FW,21-231,1,5.0,5.0,1.9,0.1,0,,0,1,5.0,2,1.0,1.0,1.0,0.0,0.0,1.36,Matches
Yiğit Çeltik,tr TUR,MF,22-152,0,,,,,0,,0,0,,1,,,,,,,Matches
Baran Gezek,tr TUR,MF,20-011,0,,,,,0,,0,0,,2,,,,,,,Matches
Nurettin Korkmaz,tr TUR,FW,23-071,0,,,,,0,,0,0,,2,,,,,,,Matches
Onurcan Piri,tr TUR,GK,30-343,0,,,,,0,,0,0,,3,,,,,,,Matches
Squad Total,,,29.8,3,270.0,90.0,100.0,3.0,33,82.0,19,14,18.0,16,0.67,2.0,6.0,-4.0,-1.33,,
Opponent Total,,,28.5,3,270.0,90.0,100.0,3.0,33,82.0,18,15,20.0,15,1.67,6.0,2.0,4.0,1.33,,
