Player,Nation,Pos,Age,MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Matches
Bilal Bayazit,nl NED,GK,26-151,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Miguel Filipe Nunes Cardoso,pt POR,"MF,FW",31-079,3,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Lionel Carole,fr FRA,DF,34-147,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stefano Denswil,sr SUR,DF,32-122,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gökhan Sazdağı,tr TUR,DF,30-351,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Mendes,pt POR,MF,30-320,3,3,255.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
László Bénes,sk SVK,MF,27-362,3,2,187.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches
Yaw Ackah,gh GHA,MF,26-097,3,2,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ramazan Civelek,tr TUR,MF,29-227,3,2,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aaron Opoku,de GER,"MF,FW",26-162,3,2,155.0,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,Matches
Gideon Jung,de GER,"MF,DF",30-359,2,2,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Indrit Tuci,al ALB,FW,24-357,2,1,116.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Majid Hosseini,ir IRN,DF,29-078,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Mané,gw GNB,MF,31-179,3,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dorukhan Toköz,tr TUR,MF,29-108,3,1,77.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Abdulsamet Burak,,DF,29-116,1,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ali Karimi,ir IRN,MF,31-207,2,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kayra Cihan,,DF,17-341,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Burak Kapacak,tr TUR,DF,25-272,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Talha Sarıarslan,tr TUR,FW,21-231,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yiğit Çeltik,tr TUR,MF,22-152,0,0,,,,,,,,,,,,,,,,Matches
Baran Gezek,tr TUR,MF,20-011,0,0,,,,,,,,,,,,,,,,Matches
Nurettin Korkmaz,tr TUR,FW,23-071,0,0,,,,,,,,,,,,,,,,Matches
Onurcan Piri,tr TUR,GK,30-343,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,29.8,3,33,270.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.67,0.33,1.0,0.67,1.0,
Opponent Total,,,28.5,3,33,270.0,3.0,6.0,5.0,11.0,6.0,0.0,0.0,6.0,0.0,2.0,1.67,3.67,2.0,3.67,
