Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Aleksandar Jovanović,rs SRB,GK,32-274,4.0,0,0,0,0,0,0,0,0,0,,,1,Matches
Bruno Petković,hr CRO,FW,30-355,4.0,0,0,0,1,8,1,1,0,4,,,0,Matches
Show,ao ANG,MF,26-184,3.7,2,0,0,6,6,0,0,4,5,,,0,Matches
Aaron Appindangoyé,ga GAB,DF,33-198,3.5,0,0,0,5,1,1,0,5,1,,,0,Matches
Joseph Nonge,be BEL,MF,20-114,3.3,1,0,0,7,10,0,0,6,4,,,0,Matches
Ryan Mendes,cv CPV,FW,35-241,3.0,0,0,0,3,1,0,5,2,2,,,0,Matches
Anfernee Dijksteel,sr SUR,DF,28-314,3.8,0,0,0,2,5,0,1,1,5,,,0,Matches
Massadio Haïdara,ml MLI,DF,32-278,3.0,0,0,0,5,5,0,15,0,1,,,0,Matches
Oğulcan Çağlayan,tr TUR,FW,29-168,2.2,1,0,0,2,1,3,2,0,0,,,0,Matches
Oleksandr Syrota,ua UKR,DF,25-087,2.0,0,0,0,4,0,0,0,1,0,,,0,Matches
Ahmet Oğuz,tr TUR,DF,32-233,1.9,0,0,0,4,3,0,12,5,5,,,0,Matches
Can Keles,at AUT,FW,24-004,1.9,2,0,0,2,2,0,8,0,1,,,0,Matches
Samet Yalçın,,MF,31-187,1.4,0,1,0,2,0,1,1,2,1,,,0,Matches
Tayfur Bingöl,tr TUR,MF,32-238,1.5,1,0,0,2,2,0,2,1,0,,,0,Matches
Muharrem Cinan,,DF,27-116,1.0,0,0,0,0,1,0,2,2,2,,,0,Matches
Tarkan Serbest,tr TUR,MF,31-127,1.0,0,0,0,2,2,0,0,1,0,,,0,Matches
Mateusz Wieteska,pl POL,DF,28-207,0.2,0,0,0,0,0,0,0,1,0,,,0,Matches
Karol Linetty,pl POL,MF,30-216,0.7,1,0,0,3,1,0,1,1,0,,,0,Matches
Mesut Can Tunalı,tr TUR,MF,24-060,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches
Dan Agyei,eng ENG,"FW,MF",28-097,0.4,0,0,0,2,0,0,2,0,0,,,0,Matches
Rigoberto Rivas,hn HON,"FW,MF",27-037,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
Cihat Çelik,nl NED,MF,29-247,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Furkan Gedik,,MF,23-056,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,29.7,4.0,8,1,0,53,48,6,53,32,31,,,1,
Opponent Total,,,28.7,4.0,7,0,0,50,50,2,70,33,36,,,0,
