Player,Nation,Pos,Age,MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Aleksandar Jovanović,rs SRB,GK,32-274,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,0.25,2.0,6.0,-4.0,-1.0,,Matches
Bruno Petković,hr CRO,FW,30-355,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,0.25,2.0,6.0,-4.0,-1.0,,Matches
Show,ao ANG,MF,26-184,4,333.0,83.0,92.5,3.7,4,83.0,2,0,,0,0.25,1.0,5.0,-4.0,-1.08,-1.08,Matches
Aaron Appindangoyé,ga GAB,DF,33-198,4,315.0,79.0,87.5,3.5,4,79.0,3,0,,0,0.25,1.0,5.0,-4.0,-1.14,-1.14,Matches
Joseph Nonge,be BEL,MF,20-114,4,299.0,75.0,83.1,3.3,4,75.0,0,0,,0,0.25,1.0,3.0,-2.0,-0.6,2.35,Matches
Ryan Mendes,cv CPV,FW,35-241,4,271.0,68.0,75.3,3.0,4,68.0,2,0,,0,0.25,1.0,5.0,-4.0,-1.33,-1.33,Matches
Anfernee Dijksteel,sr SUR,DF,28-314,4,339.0,85.0,94.2,3.8,3,90.0,3,1,69.0,0,0.25,2.0,6.0,-4.0,-1.06,-1.06,Matches
Massadio Haïdara,ml MLI,DF,32-278,3,270.0,90.0,75.0,3.0,3,90.0,3,0,,0,0.0,1.0,5.0,-4.0,-1.33,-1.33,Matches
Oğulcan Çağlayan,tr TUR,FW,29-168,4,196.0,49.0,54.4,2.2,2,54.0,0,2,45.0,0,0.25,1.0,2.0,-1.0,-0.46,1.19,Matches
Oleksandr Syrota,ua UKR,DF,25-087,2,180.0,90.0,50.0,2.0,2,90.0,2,0,,0,0.5,2.0,4.0,-2.0,-1.0,0.0,Matches
Ahmet Oğuz,tr TUR,DF,32-233,2,175.0,88.0,48.6,1.9,2,88.0,1,0,,0,0.0,0.0,2.0,-2.0,-1.03,-0.06,Matches
Can Keles,at AUT,FW,24-004,3,169.0,56.0,46.9,1.9,2,82.0,1,1,5.0,0,0.33,1.0,3.0,-2.0,-1.07,-0.12,Matches
Samet Yalçın,,MF,31-187,2,128.0,64.0,35.6,1.4,2,64.0,0,0,,0,0.0,0.0,1.0,-1.0,-0.7,0.46,Matches
Tayfur Bingöl,tr TUR,MF,32-238,2,135.0,68.0,37.5,1.5,1,90.0,1,1,45.0,0,0.5,1.0,3.0,-2.0,-1.33,-0.53,Matches
Muharrem Cinan,,DF,27-116,1,90.0,90.0,25.0,1.0,1,90.0,1,0,,3,1.0,1.0,1.0,0.0,0.0,1.33,Matches
Tarkan Serbest,tr TUR,MF,31-127,2,88.0,44.0,24.4,1.0,1,82.0,0,1,6.0,2,0.5,2.0,4.0,-2.0,-2.05,-1.38,Matches
Mateusz Wieteska,pl POL,DF,28-207,1,21.0,21.0,5.8,0.2,1,21.0,0,0,,0,0.0,0.0,0.0,0.0,0.0,1.06,Matches
Karol Linetty,pl POL,MF,30-216,2,66.0,33.0,18.3,0.7,0,,0,2,33.0,0,0.5,1.0,1.0,0.0,0.0,1.22,Matches
Mesut Can Tunalı,tr TUR,MF,24-060,1,45.0,45.0,12.5,0.5,0,,0,1,45.0,2,0.0,0.0,1.0,-1.0,-2.0,-1.14,Matches
Dan Agyei,eng ENG,"FW,MF",28-097,3,39.0,13.0,10.8,0.4,0,,0,3,13.0,1,0.33,1.0,1.0,0.0,0.0,1.12,Matches
Rigoberto Rivas,hn HON,"FW,MF",27-037,1,16.0,16.0,4.4,0.2,0,,0,1,16.0,0,1.0,1.0,1.0,0.0,0.0,1.05,Matches
Cihat Çelik,nl NED,MF,29-247,2,13.0,7.0,3.6,0.1,0,,0,2,7.0,2,0.0,0.0,0.0,0.0,0.0,1.04,Matches
Furkan Gedik,,MF,23-056,1,5.0,5.0,1.4,0.1,0,,0,1,5.0,3,0.0,0.0,0.0,0.0,0.0,1.01,Matches
Ege Bilim,,,19-145,0,,,,,0,,0,0,,2,,,,,,,Matches
Bünyamin Dalkılıç,,FW,19-153,0,,,,,0,,0,0,,1,,,,,,,Matches
Gökhan Değirmenci,tr TUR,GK,36-169,0,,,,,0,,0,0,,4,,,,,,,Matches
Onur Öztonga,,DF,25-243,0,,,,,0,,0,0,,3,,,,,,,Matches
Ahmet Sagat,de GER,FW,29-102,0,,,,,0,,0,0,,1,,,,,,,Matches
Squad Total,,,29.7,4,360.0,90.0,100.0,4.0,44,80.0,27,16,25.0,24,0.25,2.0,6.0,-4.0,-1.0,,
Opponent Total,,,28.7,4,360.0,90.0,100.0,4.0,44,80.0,25,19,15.0,21,2.5,6.0,2.0,4.0,1.0,,
