Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Aleksandar Jovanović,rs SRB,GK,32-274,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Bruno Petković,hr CRO,FW,30-355,4.0,2,10,6,60.0,2.5,1.5,0.2,0.33,,0,0,Matches
Show,ao ANG,MF,26-184,3.7,0,3,0,0.0,0.81,0.0,0.0,,,0,0,Matches
Aaron Appindangoyé,ga GAB,DF,33-198,3.5,0,1,1,100.0,0.29,0.29,0.0,0.0,,0,0,Matches
Joseph Nonge,be BEL,MF,20-114,3.3,0,2,0,0.0,0.6,0.0,0.0,,,0,0,Matches
Ryan Mendes,cv CPV,FW,35-241,3.0,0,7,1,14.3,2.32,0.33,0.0,0.0,,0,0,Matches
Anfernee Dijksteel,sr SUR,DF,28-314,3.8,0,0,0,,0.0,0.0,,,,0,0,Matches
Massadio Haïdara,ml MLI,DF,32-278,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Oğulcan Çağlayan,tr TUR,FW,29-168,2.2,0,6,0,0.0,2.76,0.0,0.0,,,0,0,Matches
Oleksandr Syrota,ua UKR,DF,25-087,2.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Ahmet Oğuz,tr TUR,DF,32-233,1.9,0,1,1,100.0,0.51,0.51,0.0,0.0,,0,0,Matches
Can Keles,at AUT,FW,24-004,1.9,0,1,0,0.0,0.53,0.0,0.0,,,0,0,Matches
Samet Yalçın,,MF,31-187,1.4,0,3,0,0.0,2.11,0.0,0.0,,,0,0,Matches
Tayfur Bingöl,tr TUR,MF,32-238,1.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Muharrem Cinan,,DF,27-116,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Tarkan Serbest,tr TUR,MF,31-127,1.0,0,2,0,0.0,2.05,0.0,0.0,,,0,0,Matches
Mateusz Wieteska,pl POL,DF,28-207,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Karol Linetty,pl POL,MF,30-216,0.7,0,3,2,66.7,4.09,2.73,0.0,0.0,,0,0,Matches
Mesut Can Tunalı,tr TUR,MF,24-060,0.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Dan Agyei,eng ENG,"FW,MF",28-097,0.4,0,2,1,50.0,4.62,2.31,0.0,0.0,,0,0,Matches
Rigoberto Rivas,hn HON,"FW,MF",27-037,0.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Cihat Çelik,nl NED,MF,29-247,0.1,0,1,0,0.0,6.92,0.0,0.0,,,0,0,Matches
Furkan Gedik,,MF,23-056,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,29.7,4.0,2,42,12,28.6,10.5,3.0,0.05,0.17,,0,0,
Opponent Total,,,28.7,4.0,5,57,15,26.3,14.25,3.75,0.09,0.33,,0,0,
