Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Marko Jevtović,rs SRB,"MF,DF",32-044,3.0,1,0,0,1,3,0,1,7,4,,,0,Matches
Umut Nayir,tr TUR,FW,32-070,2.9,0,0,0,3,3,2,0,0,0,,,0,Matches
Melih Ibrahimoglu,tr TUR,MF,25-051,2.9,0,0,0,5,7,0,1,2,8,,,0,Matches
Guilherme Sityá,pt POR,DF,35-158,2.9,0,0,0,3,1,0,15,1,3,,,0,Matches
Riechedly Bazoer,cw CUW,DF,28-329,2.8,1,0,0,3,2,0,0,0,3,,,0,Matches
Yhoan Andzouana,cg CGO,DF,28-267,2.8,0,0,0,3,4,0,9,0,5,,,0,Matches
Alassane Ndao,sn SEN,"MF,FW",28-260,2.7,0,0,0,1,0,2,7,2,2,,,0,Matches
Enis Bardhi,mk MKD,MF,30-066,2.6,1,0,0,5,2,1,8,1,2,,,0,Matches
Danijel Aleksić,rs SRB,MF,34-129,2.2,0,0,0,1,1,0,1,1,2,,,0,Matches
Adil Demirbağ,tr TUR,DF,27-270,2.0,1,0,0,4,1,0,0,1,4,,,0,Matches
Deniz Ertaş,tr TUR,GK,20-170,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Uğurcan Yazgılı,tr TUR,DF,26-150,1.2,0,0,0,0,2,0,0,0,2,,,0,Matches
Bahadır Güngördü,,GK,27-272,1.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Pedrinho,br BRA,MF,28-261,0.6,0,0,0,0,1,0,2,0,1,,,0,Matches
Morten Bjørlo,no NOR,MF,29-337,0.5,0,0,0,2,3,0,0,0,1,,,0,Matches
Muhammet Tunahan Taşçı,tr TUR,MF,23-130,0.5,1,0,0,0,1,0,1,0,1,,,0,Matches
Marius Ştefănescu,ro ROU,"DF,FW",27-023,0.3,0,0,0,2,1,0,2,0,0,,,0,Matches
Jackson Muleka,cd COD,"FW,MF",25-337,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Melih Bostan,,FW,21-151,0.1,0,0,0,0,0,1,0,0,0,,,0,Matches
Squad Total,,,29.3,3.0,6,0,0,33,33,6,47,15,38,,,0,
Opponent Total,,,27.8,3.0,7,0,0,37,33,6,62,31,28,,,0,
