Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Marko Jevtović,rs SRB,"MF,DF",32-044,3.0,0,1,0,0.0,0.34,0.0,0.0,,,0,0,Matches
Umut Nayir,tr TUR,FW,32-070,2.9,2,9,4,44.4,3.06,1.36,0.22,0.5,,0,0,Matches
Melih Ibrahimoglu,tr TUR,MF,25-051,2.9,0,4,1,25.0,1.4,0.35,0.0,0.0,,0,0,Matches
Guilherme Sityá,pt POR,DF,35-158,2.9,0,2,0,0.0,0.7,0.0,0.0,,,0,0,Matches
Riechedly Bazoer,cw CUW,DF,28-329,2.8,0,1,0,0.0,0.36,0.0,0.0,,,0,0,Matches
Yhoan Andzouana,cg CGO,DF,28-267,2.8,1,2,2,100.0,0.73,0.73,0.5,0.5,,0,0,Matches
Alassane Ndao,sn SEN,"MF,FW",28-260,2.7,1,8,1,12.5,2.94,0.37,0.13,1.0,,0,0,Matches
Enis Bardhi,mk MKD,MF,30-066,2.6,1,2,1,50.0,0.78,0.39,0.0,0.0,,1,1,Matches
Danijel Aleksić,rs SRB,MF,34-129,2.2,1,5,2,40.0,2.31,0.92,0.2,0.5,,0,0,Matches
Adil Demirbağ,tr TUR,DF,27-270,2.0,1,2,1,50.0,1.0,0.5,0.5,1.0,,0,0,Matches
Deniz Ertaş,tr TUR,GK,20-170,2.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Uğurcan Yazgılı,tr TUR,DF,26-150,1.2,0,0,0,,0.0,0.0,,,,0,0,Matches
Bahadır Güngördü,,GK,27-272,1.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Pedrinho,br BRA,MF,28-261,0.6,0,1,0,0.0,1.58,0.0,0.0,,,0,0,Matches
Morten Bjørlo,no NOR,MF,29-337,0.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Muhammet Tunahan Taşçı,tr TUR,MF,23-130,0.5,1,2,2,100.0,3.83,3.83,0.5,0.5,,0,0,Matches
Marius Ştefănescu,ro ROU,"DF,FW",27-023,0.3,0,2,0,0.0,6.92,0.0,0.0,,,0,0,Matches
Jackson Muleka,cd COD,"FW,MF",25-337,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Melih Bostan,,FW,21-151,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,29.3,3.0,8,41,14,34.1,13.67,4.67,0.17,0.5,,1,1,
Opponent Total,,,27.8,3.0,2,51,12,23.5,17.0,4.0,0.04,0.17,,0,0,
