Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Samet Akaydın,tr TUR,DF,31-177,3.0,0,0,0,4,2,0,0,7,4,,,0,Matches
Erdem Canpolat,de GER,GK,24-146,3.0,1,0,0,0,1,0,0,0,0,,,0,Matches
Muhammet Taha Şahin,,"DF,MF",24-319,3.0,0,0,0,2,2,0,11,4,3,,,0,Matches
Ali Sowe,gm GAM,FW,31-084,3.0,1,0,0,5,6,3,0,0,0,,,0,Matches
Casper Højer Nielsen,dk DEN,DF,30-290,3.0,1,0,0,2,1,0,9,1,2,,,0,Matches
Ibrahim Olawoyin,ng NGA,MF,27-279,2.8,1,0,0,3,12,0,0,2,6,,,0,Matches
Qazim Laçi,al ALB,MF,29-230,2.7,0,0,0,3,5,1,8,1,4,,,0,Matches
Mithat Pala,tr TUR,"MF,DF",25-022,2.7,0,0,0,2,4,0,4,2,3,,,0,Matches
Giannis Papanikolaou,gr GRE,MF,26-292,2.6,1,0,0,4,5,0,0,3,5,,,0,Matches
Xusniddin Aliqulov,uz UZB,DF,26-155,1.9,3,0,0,5,1,0,1,6,1,,,0,Matches
Halil Dervişoğlu,tr TUR,FW,25-272,1.9,0,0,0,0,3,2,0,0,1,,,0,Matches
Attila Mocsi,hu HUN,DF,25-100,1.1,0,0,0,1,1,0,0,0,2,,,0,Matches
Valentin Mihaila,ro ROU,MF,25-216,0.8,0,0,0,1,1,0,0,0,1,,,0,Matches
Altin Zeqiri,xk KVX,MF,25-050,0.7,0,0,0,0,0,0,1,0,1,,,0,Matches
Dal Varesanovic,ba BIH,MF,24-106,0.6,0,0,0,0,0,1,2,0,0,,,0,Matches
Muhamed Buljubasic,ba BIH,MF,21-064,0.2,0,0,0,0,2,0,0,0,0,,,0,Matches
Václav Jurečka,cz CZE,FW,31-072,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Emrecan Bulut,,MF,23-223,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,27.5,3.0,8,0,0,32,46,7,36,26,33,,,0,
Opponent Total,,,27.6,3.0,3,0,0,47,30,1,62,20,34,,,0,
