Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Samet Akaydın,tr TUR,DF,31-177,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Erdem Canpolat,de GER,GK,24-146,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Muhammet Taha Şahin,,"DF,MF",24-319,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Ali Sowe,gm GAM,FW,31-084,3.0,0,10,2,20.0,3.35,0.67,0.0,0.0,,0,0,Matches
Casper Højer Nielsen,dk DEN,DF,30-290,3.0,0,1,0,0.0,0.34,0.0,0.0,,,0,0,Matches
Ibrahim Olawoyin,ng NGA,MF,27-279,2.8,0,1,0,0.0,0.36,0.0,0.0,,,0,0,Matches
Qazim Laçi,al ALB,MF,29-230,2.7,0,2,1,50.0,0.74,0.37,0.0,0.0,,0,0,Matches
Mithat Pala,tr TUR,"MF,DF",25-022,2.7,0,2,1,50.0,0.75,0.38,0.0,0.0,,0,0,Matches
Giannis Papanikolaou,gr GRE,MF,26-292,2.6,0,1,0,0.0,0.38,0.0,0.0,,,0,0,Matches
Xusniddin Aliqulov,uz UZB,DF,26-155,1.9,0,1,1,100.0,0.52,0.52,0.0,0.0,,0,0,Matches
Halil Dervişoğlu,tr TUR,FW,25-272,1.9,0,2,0,0.0,1.06,0.0,0.0,,,0,0,Matches
Attila Mocsi,hu HUN,DF,25-100,1.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Valentin Mihaila,ro ROU,MF,25-216,0.8,0,1,0,0.0,1.3,0.0,0.0,,,0,0,Matches
Altin Zeqiri,xk KVX,MF,25-050,0.7,0,3,1,33.3,4.29,1.43,0.0,0.0,,0,0,Matches
Dal Varesanovic,ba BIH,MF,24-106,0.6,1,2,1,50.0,3.33,1.67,0.5,1.0,,0,0,Matches
Muhamed Buljubasic,ba BIH,MF,21-064,0.2,0,1,1,100.0,4.74,4.74,0.0,0.0,,0,0,Matches
Václav Jurečka,cz CZE,FW,31-072,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Emrecan Bulut,,MF,23-223,0.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,27.5,3.0,1,29,8,27.6,9.67,2.67,0.03,0.13,,0,0,
Opponent Total,,,27.6,3.0,6,42,12,28.6,14.0,4.0,0.14,0.5,,0,0,
