Player,Nation,Pos,Age,MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Matches
Samet Akaydın,tr TUR,DF,31-177,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Erdem Canpolat,de GER,GK,24-146,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Muhammet Taha Şahin,,"DF,MF",24-319,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ali Sowe,gm GAM,FW,31-084,3,3,269.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Casper Højer Nielsen,dk DEN,DF,30-290,3,3,267.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ibrahim Olawoyin,ng NGA,MF,27-279,3,3,252.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Qazim Laçi,al ALB,MF,29-230,3,3,243.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mithat Pala,tr TUR,"MF,DF",25-022,3,3,239.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giannis Papanikolaou,gr GRE,MF,26-292,3,3,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Xusniddin Aliqulov,uz UZB,DF,26-155,3,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Halil Dervişoğlu,tr TUR,FW,25-272,3,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Attila Mocsi,hu HUN,DF,25-100,3,1,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Valentin Mihaila,ro ROU,MF,25-216,2,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Altin Zeqiri,xk KVX,MF,25-050,2,0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dal Varesanovic,ba BIH,MF,24-106,2,0,54.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,1.67,1.67,Matches
Muhamed Buljubasic,ba BIH,MF,21-064,2,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Václav Jurečka,cz CZE,FW,31-072,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emrecan Bulut,,MF,23-223,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Seyfettin Anıl Yaşar,tr TUR,DF,23-067,0,0,,,,,,,,,,,,,,,,Matches
Taylan Antalyalı,tr TUR,MF,30-241,0,0,,,,,,,,,,,,,,,,Matches
Efe Doğan,,GK,21-017,0,0,,,,,,,,,,,,,,,,Matches
Furkan Orak,,DF,24-101,0,0,,,,,,,,,,,,,,,,Matches
Modibo Sagnan,ml MLI,DF,26-145,0,0,,,,,,,,,,,,,,,,Matches
Deniz Yaşar,,FW,18-332,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.5,3,33,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.33,0.0,0.33,0.33,0.33,
Opponent Total,,,27.6,3,33,270.0,3.0,6.0,5.0,11.0,6.0,0.0,0.0,3.0,0.0,2.0,1.67,3.67,2.0,3.67,
