Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Rick van Drongelen,nl NED,DF,26-260,3.0,1,0,0,4,0,0,1,1,2,,,0,Matches
Okan Kocuk,tr TUR,GK,30-041,3.0,0,0,0,0,0,0,0,0,1,,,0,Matches
Ľubomír Šatka,sk SVK,DF,29-278,3.0,0,0,0,4,0,0,0,3,0,,,0,Matches
Marius Mouandilmadji,td CHA,FW,28-227,2.9,1,0,0,8,3,4,0,2,0,,,0,Matches
Olivier Ntcham,cm CMR,MF,29-209,2.9,0,0,0,0,3,0,2,1,0,,,0,Matches
Zeki Yavru,tr TUR,DF,34-001,2.7,1,0,0,2,0,0,14,5,1,,,0,Matches
Emre Kılınç,tr TUR,"MF,FW",31-014,2.6,0,0,0,0,4,0,10,1,3,,,0,Matches
Logi Tómasson,is ISL,DF,24-358,2.5,0,0,0,0,0,0,8,1,2,,,0,Matches
Carlo Holse,dk DEN,MF,26-096,1.8,0,0,0,3,2,0,0,2,2,,,0,Matches
Celil Yüksel,tr TUR,MF,27-248,1.5,2,0,0,4,4,0,0,2,3,,,0,Matches
Landry Dimata,be BEL,"MF,FW",28-005,1.4,0,0,0,0,5,0,2,0,2,,,0,Matches
Antoine Makoumbou,cg CGO,MF,27-050,1.6,1,0,0,10,2,0,0,0,0,,,0,Matches
Anthony Musaba,nl NED,MF,24-274,1.0,0,0,0,1,1,0,2,0,0,,,0,Matches
Yunus Emre Çift,tr TUR,MF,22-005,0.7,0,0,0,1,1,0,0,0,5,,,0,Matches
Soner Gönül,tr TUR,DF,28-087,0.7,0,0,0,1,0,0,5,0,0,,,0,Matches
Arbnor Muja,al ALB,"FW,MF",26-281,0.6,0,0,0,1,1,1,1,0,2,,,0,Matches
Soner Aydoğdu,tr TUR,MF,34-244,0.4,0,0,0,1,0,0,3,0,0,,,0,Matches
Joe Mendes,se SWE,DF,22-249,0.3,0,0,0,0,0,0,0,1,0,,,0,Matches
Afonso Sousa,pt POR,"FW,MF",25-126,0.3,0,0,0,0,0,0,1,0,1,,,0,Matches
Ebrima Ceesay,gm GAM,FW,19-097,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Squad Total,,,28.5,3.0,6,0,0,41,26,5,49,19,24,,,0,
Opponent Total,,,28.7,3.0,3,1,0,29,40,6,40,17,28,,,1,
