Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Rick van Drongelen,nl NED,DF,26-260,3.0,0,2,0,0.0,0.67,0.0,0.0,,,0,0,Matches
Okan Kocuk,tr TUR,GK,30-041,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Ľubomír Šatka,sk SVK,DF,29-278,3.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Marius Mouandilmadji,td CHA,FW,28-227,2.9,2,8,6,75.0,2.76,2.07,0.13,0.17,,1,1,Matches
Olivier Ntcham,cm CMR,MF,29-209,2.9,0,7,1,14.3,2.41,0.34,0.0,0.0,,0,0,Matches
Zeki Yavru,tr TUR,DF,34-001,2.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Emre Kılınç,tr TUR,"MF,FW",31-014,2.6,0,2,1,50.0,0.78,0.39,0.0,0.0,,0,0,Matches
Logi Tómasson,is ISL,DF,24-358,2.5,0,1,0,0.0,0.4,0.0,0.0,,,0,0,Matches
Carlo Holse,dk DEN,MF,26-096,1.8,1,2,1,50.0,1.08,0.54,0.5,1.0,,0,0,Matches
Celil Yüksel,tr TUR,MF,27-248,1.5,0,2,0,0.0,1.33,0.0,0.0,,,0,0,Matches
Landry Dimata,be BEL,"MF,FW",28-005,1.4,0,3,2,66.7,2.08,1.38,0.0,0.0,,0,0,Matches
Antoine Makoumbou,cg CGO,MF,27-050,1.6,0,2,0,0.0,1.23,0.0,0.0,,,0,0,Matches
Anthony Musaba,nl NED,MF,24-274,1.0,0,2,0,0.0,2.0,0.0,0.0,,,0,0,Matches
Yunus Emre Çift,tr TUR,MF,22-005,0.7,0,1,1,100.0,1.38,1.38,0.0,0.0,,0,0,Matches
Soner Gönül,tr TUR,DF,28-087,0.7,0,1,0,0.0,1.53,0.0,0.0,,,0,0,Matches
Arbnor Muja,al ALB,"FW,MF",26-281,0.6,0,1,0,0.0,1.8,0.0,0.0,,,0,0,Matches
Soner Aydoğdu,tr TUR,MF,34-244,0.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Joe Mendes,se SWE,DF,22-249,0.3,0,0,0,,0.0,0.0,,,,0,0,Matches
Afonso Sousa,pt POR,"FW,MF",25-126,0.3,0,1,0,0.0,3.46,0.0,0.0,,,0,0,Matches
Ebrima Ceesay,gm GAM,FW,19-097,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,28.5,3.0,3,35,12,34.3,11.67,4.0,0.06,0.17,,1,1,
Opponent Total,,,28.7,3.0,2,30,9,30.0,10.0,3.0,0.07,0.22,,0,0,
