Player,Nation,Pos,Age,MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK,Matches
Rick van Drongelen,nl NED,DF,26-260,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Okan Kocuk,tr TUR,GK,30-041,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ľubomír Šatka,sk SVK,DF,29-278,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marius Mouandilmadji,td CHA,FW,28-227,3,3,261.0,2.9,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.69,0.0,0.69,0.34,0.34,Matches
Olivier Ntcham,cm CMR,MF,29-209,3,3,261.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zeki Yavru,tr TUR,DF,34-001,3,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emre Kılınç,tr TUR,"MF,FW",31-014,3,3,230.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.39,Matches
Logi Tómasson,is ISL,DF,24-358,3,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Carlo Holse,dk DEN,MF,26-096,3,2,166.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.54,0.0,0.54,0.54,0.54,Matches
Celil Yüksel,tr TUR,MF,27-248,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Landry Dimata,be BEL,"MF,FW",28-005,2,2,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antoine Makoumbou,cg CGO,MF,27-050,3,1,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anthony Musaba,nl NED,MF,24-274,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Matches
Yunus Emre Çift,tr TUR,MF,22-005,2,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Soner Gönül,tr TUR,DF,28-087,2,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Arbnor Muja,al ALB,"FW,MF",26-281,2,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Soner Aydoğdu,tr TUR,MF,34-244,3,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joe Mendes,se SWE,DF,22-249,2,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Afonso Sousa,pt POR,"FW,MF",25-126,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ebrima Ceesay,gm GAM,FW,19-097,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Toni Borevkovic,hr CRO,DF,28-080,0,0,,,,,,,,,,,,,,,,Matches
Bedirhan Çetin,tr TUR,DF,19-069,0,0,,,,,,,,,,,,,,,,Matches
Albert Posiadala,pl POL,GK,22-193,0,0,,,,,,,,,,,,,,,,Matches
Efe Töruz,,GK,18-363,0,0,,,,,,,,,,,,,,,,Matches
Efe Üstün,,GK,17-122,0,0,,,,,,,,,,,,,,,,Matches
Polat Yaldır,tr TUR,FW,22-112,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.5,3,33,270.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,6.0,0.0,1.0,0.67,1.67,0.67,1.33,
Opponent Total,,,28.7,3,33,270.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.67,0.33,1.0,0.67,1.0,
