Player,Nation,Pos,Age,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Matches
Arsenii Batahov,ua UKR,DF,23-185,4.0,1,0,0,1,0,0,0,2,5,,,0,Matches
Uğurcan Çakır,tr TUR,GK,29-154,4.0,0,0,0,0,5,0,0,0,0,,,0,Matches
Stefan Savić,me MNE,DF,34-241,4.0,0,0,0,1,1,0,2,4,2,,,0,Matches
Okay Yokuşlu,tr TUR,MF,31-181,4.0,1,0,0,6,9,0,4,3,4,,,0,Matches
Mustafa Eskihellaç,tr TUR,DF,28-124,4.0,1,0,0,1,6,2,5,2,4,,,0,Matches
Tim Jabol-Folcarelli,fr FRA,MF,25-274,3.5,0,0,0,2,5,0,0,4,6,,,0,Matches
Paul Onuachu,ng NGA,FW,31-101,3.4,1,0,0,8,7,1,0,0,0,,,0,Matches
Kazeem Olaigbe,be BEL,MF,22-247,3.4,0,0,0,1,9,2,5,0,2,,,0,Matches
Wagner Pina,cv CPV,DF,22-307,3.3,0,0,0,1,6,0,5,2,5,,,0,Matches
Oleksandr Zubkov,ua UKR,MF,29-034,3.0,0,0,0,6,4,0,19,2,4,,,0,Matches
Felipe Augusto,br BRA,FW,21-200,2.6,0,0,0,3,4,0,1,1,2,,,0,Matches
Edin Višća,ba BIH,MF,35-201,1.1,0,0,0,0,0,1,6,0,0,,,0,Matches
Anthony Nwakaeme,ng NGA,MF,36-169,0.9,1,0,0,1,1,0,0,1,1,,,0,Matches
Arif Boşluk,,DF,22-092,0.9,0,0,0,1,0,0,0,1,6,,,0,Matches
Danylo Sikan,ua UKR,FW,24-143,0.7,1,0,0,2,3,0,1,1,0,,,0,Matches
Batista Mendy,fr FRA,"DF,MF",25-237,0.6,0,0,0,4,3,0,0,0,1,,,0,Matches
Ozan Tufan,tr TUR,"DF,FW",30-167,0.6,0,0,0,1,1,0,0,0,0,,,0,Matches
Cihan Çanak,tr TUR,MF,20-225,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Muhammed Cham,at AUT,MF,24-345,0.1,0,0,0,2,0,0,1,0,0,,,0,Matches
Squad Total,,,27.8,4.0,6,0,0,41,64,6,49,23,42,,,0,
Opponent Total,,,29.0,4.0,7,0,0,66,37,6,65,39,43,,,0,
