Player,Nation,Pos,Age,MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off,Matches
Arsenii Batahov,ua UKR,DF,23-185,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.5,4.0,1.0,3.0,0.75,,Matches
Uğurcan Çakır,tr TUR,GK,29-154,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.5,4.0,1.0,3.0,0.75,,Matches
Stefan Savić,me MNE,DF,34-241,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.5,4.0,1.0,3.0,0.75,,Matches
Okay Yokuşlu,tr TUR,MF,31-181,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,2.5,4.0,1.0,3.0,0.75,,Matches
Mustafa Eskihellaç,tr TUR,DF,28-124,4,359.0,90.0,99.7,4.0,4,90.0,3,0,,0,2.5,4.0,1.0,3.0,0.75,0.75,Matches
Tim Jabol-Folcarelli,fr FRA,MF,25-274,4,315.0,79.0,87.5,3.5,4,79.0,3,0,,0,2.5,4.0,1.0,3.0,0.86,0.86,Matches
Paul Onuachu,ng NGA,FW,31-101,4,310.0,78.0,86.1,3.4,4,78.0,0,0,,0,2.5,3.0,0.0,3.0,0.87,0.87,Matches
Kazeem Olaigbe,be BEL,MF,22-247,4,307.0,77.0,85.3,3.4,4,77.0,1,0,,0,2.5,4.0,1.0,3.0,0.88,0.88,Matches
Wagner Pina,cv CPV,DF,22-307,4,296.0,74.0,82.2,3.3,4,74.0,3,0,,0,2.5,4.0,0.0,4.0,1.22,2.62,Matches
Oleksandr Zubkov,ua UKR,MF,29-034,4,266.0,67.0,73.9,3.0,3,80.0,0,1,26.0,0,2.5,4.0,0.0,4.0,1.35,2.31,Matches
Felipe Augusto,br BRA,FW,21-200,4,230.0,58.0,63.9,2.6,3,72.0,0,1,14.0,0,2.5,3.0,0.0,3.0,1.17,1.17,Matches
Edin Višća,ba BIH,MF,35-201,3,98.0,33.0,27.2,1.1,1,64.0,0,2,17.0,1,3.0,0.0,0.0,0.0,0.0,-1.03,Matches
Anthony Nwakaeme,ng NGA,MF,36-169,1,83.0,83.0,23.1,0.9,1,83.0,0,0,,0,3.0,1.0,0.0,1.0,1.08,0.43,Matches
Arif Boşluk,,DF,22-092,3,78.0,26.0,21.7,0.9,0,,0,3,26.0,1,2.33,0.0,1.0,-1.0,-1.15,-2.43,Matches
Danylo Sikan,ua UKR,FW,24-143,4,64.0,16.0,17.8,0.7,0,,0,4,16.0,0,2.5,1.0,1.0,0.0,0.0,-0.91,Matches
Batista Mendy,fr FRA,"DF,MF",25-237,2,50.0,25.0,13.9,0.6,0,,0,2,25.0,1,3.0,0.0,0.0,0.0,0.0,-0.87,Matches
Ozan Tufan,tr TUR,"DF,FW",30-167,3,50.0,17.0,13.9,0.6,0,,0,3,17.0,1,2.33,0.0,1.0,-1.0,-1.8,-2.96,Matches
Cihan Çanak,tr TUR,MF,20-225,1,9.0,9.0,2.5,0.1,0,,0,1,9.0,0,1.0,0.0,1.0,-1.0,-10.0,-11.03,Matches
Muhammed Cham,at AUT,MF,24-345,1,5.0,5.0,1.4,0.1,0,,0,1,5.0,2,3.0,0.0,0.0,0.0,0.0,-0.76,Matches
Rayyan Baniya,,DF,26-200,0,,,,,0,,0,0,,3,,,,,,,Matches
Boran Başkan,tr TUR,MF,19-161,0,,,,,0,,0,0,,1,,,,,,,Matches
Ahmet Doğan Yıldırım,,GK,18-309,0,,,,,0,,0,0,,4,,,,,,,Matches
Salih Malkoçoglu,,MF,20-195,0,,,,,0,,0,0,,4,,,,,,,Matches
Serdar Saatçı,tr TUR,DF,22-204,0,,,,,0,,0,0,,4,,,,,,,Matches
Squad Total,,,27.8,4,360.0,90.0,100.0,4.0,44,83.0,26,18,18.0,22,2.5,4.0,1.0,3.0,0.75,,
Opponent Total,,,29.0,4,360.0,90.0,100.0,4.0,44,83.0,26,18,24.0,21,0.25,1.0,4.0,-3.0,-0.75,,
