Player,Nation,Pos,Age,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt,Matches
Arsenii Batahov,ua UKR,DF,23-185,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Uğurcan Çakır,tr TUR,GK,29-154,4.0,0,0,0,,0.0,0.0,,,,0,0,Matches
Stefan Savić,me MNE,DF,34-241,4.0,1,1,1,100.0,0.25,0.25,1.0,1.0,,0,0,Matches
Okay Yokuşlu,tr TUR,MF,31-181,4.0,0,2,0,0.0,0.5,0.0,0.0,,,0,0,Matches
Mustafa Eskihellaç,tr TUR,DF,28-124,4.0,0,1,0,0.0,0.25,0.0,0.0,,,0,0,Matches
Tim Jabol-Folcarelli,fr FRA,MF,25-274,3.5,0,1,0,0.0,0.29,0.0,0.0,,,0,0,Matches
Paul Onuachu,ng NGA,FW,31-101,3.4,2,7,2,28.6,2.03,0.58,0.29,1.0,,0,0,Matches
Kazeem Olaigbe,be BEL,MF,22-247,3.4,0,8,1,12.5,2.35,0.29,0.0,0.0,,0,0,Matches
Wagner Pina,cv CPV,DF,22-307,3.3,0,4,1,25.0,1.22,0.3,0.0,0.0,,0,0,Matches
Oleksandr Zubkov,ua UKR,MF,29-034,3.0,0,8,2,25.0,2.71,0.68,0.0,0.0,,0,0,Matches
Felipe Augusto,br BRA,FW,21-200,2.6,1,6,2,33.3,2.35,0.78,0.17,0.5,,0,0,Matches
Edin Višća,ba BIH,MF,35-201,1.1,0,4,1,25.0,3.67,0.92,0.0,0.0,,0,0,Matches
Anthony Nwakaeme,ng NGA,MF,36-169,0.9,0,2,0,0.0,2.17,0.0,0.0,,,0,0,Matches
Arif Boşluk,,DF,22-092,0.9,0,0,0,,0.0,0.0,,,,0,0,Matches
Danylo Sikan,ua UKR,FW,24-143,0.7,0,2,0,0.0,2.81,0.0,0.0,,,0,0,Matches
Batista Mendy,fr FRA,"DF,MF",25-237,0.6,0,1,0,0.0,1.8,0.0,0.0,,,0,0,Matches
Ozan Tufan,tr TUR,"DF,FW",30-167,0.6,0,1,1,100.0,1.8,1.8,0.0,0.0,,0,0,Matches
Cihan Çanak,tr TUR,MF,20-225,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Muhammed Cham,at AUT,MF,24-345,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Squad Total,,,27.8,4.0,4,48,11,22.9,12.0,2.75,0.08,0.36,,0,0,
Opponent Total,,,29.0,4.0,1,40,10,25.0,10.0,2.5,0.03,0.1,,0,0,
