Squad,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
vs Alanyaspor,1,3,3,270,3.0,3,1.0,4,3,75.0,1,1,1,1,33.3,2,2,0,0,0.0
vs Antalyaspor,2,4,4,360,4.0,4,1.0,19,15,78.9,2,0,2,1,25.0,0,0,0,0,
vs Başakşehir,2,2,2,180,2.0,1,0.5,8,7,87.5,0,2,0,1,50.0,0,0,0,0,
vs Beşiktaş,1,2,2,180,2.0,2,1.0,12,11,91.7,1,0,1,1,50.0,1,1,0,0,0.0
vs Eyüpspor,2,4,4,360,4.0,4,1.0,11,7,63.6,2,1,1,1,25.0,0,0,0,0,
vs Fatih Karagümrük,1,3,3,270,3.0,2,0.67,10,8,80.0,2,0,1,2,66.7,0,0,0,0,
vs Fenerbahçe,2,3,3,270,3.0,6,2.0,11,5,45.5,0,1,2,1,33.3,1,0,1,0,100.0
vs Galatasaray,1,4,4,357,4.0,13,3.28,27,16,59.3,0,0,4,0,0.0,2,2,0,0,0.0
vs Gaziantep FK,3,4,4,360,4.0,5,1.25,14,9,71.4,2,0,2,2,50.0,1,1,0,0,0.0
vs Gençlerbirliği,1,4,4,360,4.0,3,0.75,9,6,66.7,4,0,0,1,25.0,0,0,0,0,
vs Göztepe,1,4,4,360,4.0,6,1.5,20,14,70.0,0,2,2,1,25.0,0,0,0,0,
vs Kasımpaşa,1,3,3,270,3.0,3,1.0,7,5,71.4,3,0,0,1,33.3,1,1,0,0,0.0
vs Kayserispor,1,3,3,270,3.0,2,0.67,7,5,71.4,1,2,0,1,33.3,0,0,0,0,
vs Kocaelispor,1,4,4,360,4.0,2,0.5,13,10,84.6,3,1,0,2,50.0,0,0,0,0,
vs Konyaspor,2,3,3,270,3.0,8,2.67,13,6,46.2,0,1,2,0,0.0,1,1,0,0,0.0
vs Rizespor,1,3,3,270,3.0,1,0.33,8,7,87.5,2,1,0,2,66.7,0,0,0,0,
vs Samsunspor,1,3,3,270,3.0,4,1.33,12,9,75.0,0,1,2,0,0.0,1,1,0,0,0.0
vs Trabzonspor,1,4,4,360,4.0,4,1.0,11,7,63.6,0,1,3,0,0.0,0,0,0,0,
