Squad,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
vs Alanyaspor,19,3.0,8,0,0,51,47,5,41,28,19,,,0
vs Antalyaspor,22,4.0,7,0,0,50,47,7,77,27,25,,,0
vs Başakşehir,21,2.0,6,0,0,24,31,4,40,12,17,,,0
vs Beşiktaş,20,2.0,3,0,0,17,31,8,31,18,25,,,0
vs Eyüpspor,21,4.0,10,0,0,65,46,7,76,18,41,,,0
vs Fatih Karagümrük,19,3.0,2,0,0,45,37,4,74,20,36,,,0
vs Fenerbahçe,23,3.0,12,2,2,48,40,4,36,25,14,,,1
vs Galatasaray,20,4.0,9,2,0,40,42,8,52,24,42,,,1
vs Gaziantep FK,21,4.0,16,1,1,65,50,7,73,33,36,,,0
vs Gençlerbirliği,23,4.0,6,0,0,48,41,12,70,14,36,,,0
vs Göztepe,19,4.0,10,1,1,39,69,7,75,31,38,,,0
vs Kasımpaşa,18,3.0,9,0,0,43,57,6,30,19,24,,,0
vs Kayserispor,20,3.0,6,0,0,32,30,2,44,19,26,,,0
vs Kocaelispor,23,4.0,7,0,0,50,50,2,70,33,36,,,0
vs Konyaspor,19,3.0,7,0,0,37,33,6,62,31,28,,,0
vs Rizespor,18,3.0,3,0,0,47,30,1,62,20,34,,,0
vs Samsunspor,20,3.0,3,1,0,29,40,6,40,17,28,,,1
vs Trabzonspor,19,4.0,7,0,0,66,37,6,65,39,43,,,0
