Squad,# Pl,Age,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90
vs Alanyaspor,19,28.4,3,270,90,100,3.0,33,82,21,12,14,18,1.33,2,3,-1,-0.33
vs Antalyaspor,22,27.9,4,360,90,100,4.0,44,81,27,17,13,20,1.5,4,4,0,0.0
vs Başakşehir,21,29.4,2,180,90,100,2.0,22,82,12,10,20,10,1.0,1,1,0,0.0
vs Beşiktaş,20,28.1,2,180,90,100,2.0,22,85,12,10,23,10,1.5,3,2,1,0.5
vs Eyüpspor,21,28.7,4,360,90,100,4.0,44,80,26,18,15,18,1.75,7,4,3,0.75
vs Fatih Karagümrük,19,27.8,3,270,90,100,3.0,33,82,18,15,15,14,2.0,6,2,4,1.33
vs Fenerbahçe,23,28.1,3,270,90,100,3.0,33,83,18,14,18,15,0.33,2,6,-4,-1.33
vs Galatasaray,20,28.3,4,360,90,100,4.0,44,83,24,18,24,21,0.0,1,13,-12,-3.0
vs Gaziantep FK,21,28.7,4,360,90,100,4.0,44,81,26,17,19,22,1.5,9,5,4,1.0
vs Gençlerbirliği,23,28.7,4,360,90,100,4.0,44,82,24,20,19,20,3.0,8,3,5,1.25
vs Göztepe,19,27.5,4,360,90,100,4.0,44,83,27,16,22,21,0.5,1,6,-5,-1.25
vs Kasımpaşa,18,28.6,3,270,90,100,3.0,33,84,20,13,16,17,3.0,6,3,3,1.0
vs Kayserispor,20,28.5,3,270,90,100,3.0,33,82,18,15,20,15,1.67,6,2,4,1.33
vs Kocaelispor,23,28.7,4,360,90,100,4.0,44,80,25,19,15,21,2.5,6,2,4,1.0
vs Konyaspor,19,27.8,3,270,90,100,3.0,33,83,20,14,22,15,0.33,2,8,-6,-2.0
vs Rizespor,18,27.6,3,270,90,100,3.0,33,84,18,15,16,15,2.33,6,1,5,1.67
vs Samsunspor,20,28.7,3,270,90,100,3.0,33,81,20,12,26,18,0.33,2,4,-2,-0.67
vs Trabzonspor,19,29.0,4,360,90,100,4.0,44,83,26,18,24,21,0.25,1,4,-3,-0.75
