Squad,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
vs Alanyaspor,19,3.0,2,27,10,37.0,9.0,3.33,0.07,0.2,,0,0
vs Antalyaspor,22,4.0,4,58,16,27.6,14.5,4.0,0.07,0.25,,0,0
vs Başakşehir,21,2.0,1,21,4,19.0,10.5,2.0,0.05,0.25,,0,0
vs Beşiktaş,20,2.0,3,20,7,35.0,10.0,3.5,0.1,0.29,,1,1
vs Eyüpspor,21,4.0,7,56,20,35.7,14.0,5.0,0.07,0.2,,3,3
vs Fatih Karagümrük,19,3.0,5,53,21,39.6,17.67,7.0,0.09,0.24,,0,0
vs Fenerbahçe,23,3.0,2,28,6,21.4,9.33,2.0,0.07,0.33,,0,0
vs Galatasaray,20,4.0,1,28,10,35.7,7.0,2.5,0.04,0.1,,0,0
vs Gaziantep FK,21,4.0,9,57,21,36.8,14.25,5.25,0.11,0.29,,3,3
vs Gençlerbirliği,23,4.0,7,55,14,25.5,13.75,3.5,0.09,0.36,,2,2
vs Göztepe,19,4.0,1,46,6,13.0,11.5,1.5,0.02,0.17,,0,1
vs Kasımpaşa,18,3.0,6,36,14,38.9,12.0,4.67,0.17,0.43,,0,0
vs Kayserispor,20,3.0,6,42,17,40.5,14.0,5.67,0.14,0.35,,0,0
vs Kocaelispor,23,4.0,5,57,15,26.3,14.25,3.75,0.09,0.33,,0,0
vs Konyaspor,19,3.0,2,51,12,23.5,17.0,4.0,0.04,0.17,,0,0
vs Rizespor,18,3.0,6,42,12,28.6,14.0,4.0,0.14,0.5,,0,0
vs Samsunspor,20,3.0,2,30,9,30.0,10.0,3.0,0.07,0.22,,0,0
vs Trabzonspor,19,4.0,1,40,10,25.0,10.0,2.5,0.03,0.1,,0,0
