Squad,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
vs Alanyaspor,19,28.4,54.7,3,33,270,3.0,2,2,4,2,0,0,8,0,0.67,0.67,1.33,0.67,1.33
vs Antalyaspor,22,27.9,52.8,4,44,360,4.0,4,3,7,4,0,0,7,0,1.0,0.75,1.75,1.0,1.75
vs Başakşehir,21,29.4,46.0,2,22,180,2.0,1,1,2,1,0,0,6,0,0.5,0.5,1.0,0.5,1.0
vs Beşiktaş,20,28.1,41.5,2,22,180,2.0,3,1,4,2,1,1,3,0,1.5,0.5,2.0,1.0,1.5
vs Eyüpspor,21,28.7,49.5,4,44,360,4.0,7,4,11,4,3,3,10,0,1.75,1.0,2.75,1.0,2.0
vs Fatih Karagümrük,19,27.8,51.7,3,33,270,3.0,5,4,9,5,0,0,2,0,1.67,1.33,3.0,1.67,3.0
vs Fenerbahçe,23,28.1,40.3,3,33,270,3.0,2,0,2,2,0,0,12,2,0.67,0.0,0.67,0.67,0.67
vs Galatasaray,20,28.3,34.3,4,44,360,4.0,1,0,1,1,0,0,9,2,0.25,0.0,0.25,0.25,0.25
vs Gaziantep FK,21,28.7,50.0,4,44,360,4.0,9,6,15,6,3,3,16,1,2.25,1.5,3.75,1.5,3.0
vs Gençlerbirliği,23,28.7,62.0,4,44,360,4.0,7,4,11,5,2,2,6,0,1.75,1.0,2.75,1.25,2.25
vs Göztepe,19,27.5,61.3,4,44,360,4.0,1,1,2,1,0,1,10,1,0.25,0.25,0.5,0.25,0.5
vs Kasımpaşa,18,28.6,44.0,3,33,270,3.0,6,5,11,6,0,0,9,0,2.0,1.67,3.67,2.0,3.67
vs Kayserispor,20,28.5,55.3,3,33,270,3.0,6,5,11,6,0,0,6,0,2.0,1.67,3.67,2.0,3.67
vs Kocaelispor,23,28.7,57.3,4,44,360,4.0,5,4,9,5,0,0,7,0,1.25,1.0,2.25,1.25,2.25
vs Konyaspor,19,27.8,49.0,3,33,270,3.0,2,2,4,2,0,0,7,0,0.67,0.67,1.33,0.67,1.33
vs Rizespor,18,27.6,50.7,3,33,270,3.0,6,5,11,6,0,0,3,0,2.0,1.67,3.67,2.0,3.67
vs Samsunspor,20,28.7,44.0,3,33,270,3.0,2,1,3,2,0,0,3,1,0.67,0.33,1.0,0.67,1.0
vs Trabzonspor,19,29.0,45.5,4,44,360,4.0,1,1,2,1,0,0,7,0,0.25,0.25,0.5,0.25,0.5
