Squad,# Pl,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - GA,Performance - GA90,Performance - SoTA,Performance - Saves,Performance - Save%,Performance - W,Performance - D,Performance - L,Performance - CS,Performance - CS%,Penalty Kicks - PKatt,Penalty Kicks - PKA,Penalty Kicks - PKsv,Penalty Kicks - PKm,Penalty Kicks - Save%
Alanyaspor,1,3,3,270,3.0,2,0.67,10,8,80.0,1,1,1,2,66.7,0,0,0,0,
Antalyaspor,2,4,4,360,4.0,4,1.0,16,12,75.0,2,0,2,1,25.0,0,0,0,0,
Başakşehir,2,2,2,180,2.0,1,0.5,4,3,75.0,0,2,0,1,50.0,0,0,0,0,
Beşiktaş,1,2,2,180,2.0,3,1.5,6,4,66.7,1,0,1,0,0.0,1,1,0,0,0.0
Eyüpspor,2,4,4,360,4.0,7,1.75,17,13,76.5,1,1,2,1,25.0,3,3,0,0,0.0
Fatih Karagümrük,1,3,3,270,3.0,6,2.0,19,13,68.4,1,0,2,0,0.0,0,0,0,0,
Fenerbahçe,2,3,3,270,3.0,2,0.67,6,4,66.7,2,1,0,1,33.3,0,0,0,0,
Galatasaray,1,4,4,360,4.0,1,0.25,10,9,90.0,4,0,0,3,75.0,0,0,0,0,
Gaziantep FK,3,4,4,357,4.0,9,2.27,18,12,66.7,2,0,2,0,0.0,3,3,0,0,0.0
Gençlerbirliği,1,4,4,360,4.0,8,2.0,13,7,53.8,0,0,4,0,0.0,2,2,0,0,0.0
Göztepe,1,4,4,360,4.0,1,0.25,5,4,80.0,2,2,0,3,75.0,1,0,1,0,100.0
Kasımpaşa,1,3,3,270,3.0,6,2.0,14,8,57.1,0,0,3,0,0.0,0,0,0,0,
Kayserispor,1,3,3,270,3.0,6,2.0,17,11,64.7,0,2,1,0,0.0,0,0,0,0,
Kocaelispor,1,4,4,360,4.0,6,1.5,16,10,62.5,0,1,3,0,0.0,0,0,0,0,
Konyaspor,2,3,3,270,3.0,2,0.67,13,10,84.6,2,1,0,1,33.3,0,0,0,0,
Rizespor,1,3,3,270,3.0,6,2.0,12,6,50.0,0,1,2,1,33.3,0,0,0,0,
Samsunspor,1,3,3,270,3.0,2,0.67,10,7,80.0,2,1,0,1,33.3,0,0,0,0,
Trabzonspor,1,4,4,360,4.0,1,0.25,10,9,90.0,3,1,0,3,75.0,0,0,0,0,
