Squad,# Pl,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
Alanyaspor,19,3.0,5,0,0,47,48,6,45,16,21,,,0
Antalyaspor,22,4.0,7,0,0,49,49,7,56,29,28,,,0
Başakşehir,21,2.0,5,0,0,33,24,0,35,14,19,,,0
Beşiktaş,20,2.0,5,0,0,32,17,7,40,18,18,,,0
Eyüpspor,21,4.0,12,0,0,49,63,11,73,28,33,,,0
Fatih Karagümrük,19,3.0,5,1,0,39,41,5,36,22,21,,,1
Fenerbahçe,23,3.0,5,1,1,40,47,4,64,17,31,,,0
Galatasaray,20,4.0,7,0,0,45,38,4,91,21,44,,,0
Gaziantep FK,21,4.0,12,1,0,55,64,10,54,22,38,,,0
Gençlerbirliği,23,4.0,7,1,1,42,46,7,57,35,31,,,1
Göztepe,19,4.0,13,2,2,74,36,4,83,43,42,,,0
Kasımpaşa,18,3.0,9,0,0,60,38,5,79,26,25,,,0
Kayserispor,20,3.0,5,0,0,31,30,2,71,22,29,,,0
Kocaelispor,23,4.0,8,1,0,53,48,6,53,32,31,,,1
Konyaspor,19,3.0,6,0,0,33,33,6,47,15,38,,,0
Rizespor,18,3.0,8,0,0,32,46,7,36,26,33,,,0
Samsunspor,20,3.0,6,0,0,41,26,5,49,19,24,,,0
Trabzonspor,19,4.0,6,0,0,41,64,6,49,23,42,,,0
