Squad,# Pl,Age,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90
Alanyaspor,19,27.7,3,270,90,100,3.0,33,82,18,15,17,14,1.33,3,2,1,0.33
Antalyaspor,22,29.3,4,360,90,100,4.0,44,81,24,20,20,20,1.5,4,4,0,0.0
Başakşehir,21,27.9,2,180,90,100,2.0,22,82,13,9,19,8,1.0,1,1,0,0.0
Beşiktaş,20,29.1,2,180,90,100,2.0,22,85,14,8,15,12,1.5,2,3,-1,-0.5
Eyüpspor,21,29.5,4,360,90,100,4.0,44,80,25,20,22,20,1.0,4,7,-3,-0.75
Fatih Karagümrük,19,26.8,3,270,90,100,3.0,33,82,20,12,18,12,1.0,2,6,-4,-1.33
Fenerbahçe,23,27.6,3,270,90,100,3.0,33,83,18,14,17,16,2.33,6,2,4,1.33
Galatasaray,20,28.6,4,360,90,100,4.0,44,83,24,20,16,20,3.0,13,1,12,3.0
Gaziantep FK,21,28.5,4,360,90,100,4.0,44,81,26,17,23,23,1.5,5,9,-4,-1.0
Gençlerbirliği,23,28.6,4,360,90,100,4.0,44,82,26,17,21,21,0.0,3,8,-5,-1.25
Göztepe,19,25.4,4,360,90,100,4.0,44,83,23,20,15,17,2.0,6,1,5,1.25
Kasımpaşa,18,28.9,3,270,90,100,3.0,33,84,22,11,17,18,0.0,3,6,-3,-1.0
Kayserispor,20,29.8,3,270,90,100,3.0,33,82,19,14,18,16,0.67,2,6,-4,-1.33
Kocaelispor,23,29.7,4,360,90,100,4.0,44,80,27,16,25,24,0.25,2,6,-4,-1.0
Konyaspor,19,29.3,3,270,90,100,3.0,33,83,19,14,15,16,2.33,8,2,6,2.0
Rizespor,18,27.5,3,270,90,100,3.0,33,84,20,13,16,17,0.33,1,6,-5,-1.67
Samsunspor,20,28.5,3,270,90,100,3.0,33,81,18,15,20,15,2.33,4,2,2,0.67
Trabzonspor,19,27.8,4,360,90,100,4.0,44,83,26,18,18,22,2.5,4,1,3,0.75
