Squad,# Pl,90s,Standard - Gls,Standard - Sh,Standard - SoT,Standard - SoT%,Standard - Sh/90,Standard - SoT/90,Standard - G/Sh,Standard - G/SoT,Standard - Dist,Standard - PK,Standard - PKatt
Alanyaspor,19,3.0,3,30,6,20.0,10.0,2.0,0.03,0.17,,2,2
Antalyaspor,22,4.0,4,40,20,50.0,10.0,5.0,0.1,0.2,,0,0
Başakşehir,21,2.0,1,23,8,34.8,11.5,4.0,0.04,0.13,,0,0
Beşiktaş,20,2.0,2,33,13,39.4,16.5,6.5,0.03,0.08,,1,1
Eyüpspor,21,4.0,4,44,11,25.0,11.0,2.75,0.09,0.36,,0,0
Fatih Karagümrük,19,3.0,2,34,10,29.4,11.33,3.33,0.06,0.2,,0,0
Fenerbahçe,23,3.0,5,46,11,23.9,15.33,3.67,0.11,0.45,,0,1
Galatasaray,20,4.0,12,78,29,37.2,19.5,7.25,0.13,0.34,,2,2
Gaziantep FK,21,4.0,5,56,14,25.0,14.0,3.5,0.07,0.29,,1,1
Gençlerbirliği,23,4.0,3,38,9,23.7,9.5,2.25,0.08,0.33,,0,0
Göztepe,19,4.0,6,63,21,33.3,15.75,5.25,0.1,0.29,,0,0
Kasımpaşa,18,3.0,3,38,8,21.1,12.67,2.67,0.05,0.25,,1,1
Kayserispor,20,3.0,2,29,7,24.1,9.67,2.33,0.07,0.29,,0,0
Kocaelispor,23,4.0,2,42,12,28.6,10.5,3.0,0.05,0.17,,0,0
Konyaspor,19,3.0,8,41,14,34.1,13.67,4.67,0.17,0.5,,1,1
Rizespor,18,3.0,1,29,8,27.6,9.67,2.67,0.03,0.13,,0,0
Samsunspor,20,3.0,3,35,12,34.3,11.67,4.0,0.06,0.17,,1,1
Trabzonspor,19,4.0,4,48,11,22.9,12.0,2.75,0.08,0.36,,0,0
