Squad,# Pl,Age,Poss,Playing Time - MP,Playing Time - Starts,Playing Time - Min,Playing Time - 90s,Performance - Gls,Performance - Ast,Performance - G+A,Performance - G-PK,Performance - PK,Performance - PKatt,Performance - CrdY,Performance - CrdR,Per 90 Minutes - Gls,Per 90 Minutes - Ast,Per 90 Minutes - G+A,Per 90 Minutes - G-PK,Per 90 Minutes - G+A-PK
Alanyaspor,19,27.7,45.3,3,33,270,3.0,3,1,4,1,2,2,5,0,1.0,0.33,1.33,0.33,0.67
Antalyaspor,22,29.3,47.3,4,44,360,4.0,4,4,8,4,0,0,7,0,1.0,1.0,2.0,1.0,2.0
Başakşehir,21,27.9,54.0,2,22,180,2.0,1,1,2,1,0,0,5,0,0.5,0.5,1.0,0.5,1.0
Beşiktaş,20,29.1,58.5,2,22,180,2.0,2,1,3,1,1,1,5,0,1.0,0.5,1.5,0.5,1.0
Eyüpspor,21,29.5,50.5,4,44,360,4.0,4,3,7,4,0,0,12,0,1.0,0.75,1.75,1.0,1.75
Fatih Karagümrük,19,26.8,48.3,3,33,270,3.0,2,2,4,2,0,0,5,1,0.67,0.67,1.33,0.67,1.33
Fenerbahçe,23,27.6,59.7,3,33,270,3.0,5,4,9,5,0,1,5,1,1.67,1.33,3.0,1.67,3.0
Galatasaray,20,28.6,65.8,4,44,360,4.0,12,8,20,10,2,2,7,0,3.0,2.0,5.0,2.5,4.5
Gaziantep FK,21,28.5,50.0,4,44,360,4.0,5,4,9,4,1,1,12,1,1.25,1.0,2.25,1.0,2.0
Gençlerbirliği,23,28.6,38.0,4,44,360,4.0,3,1,4,3,0,0,7,1,0.75,0.25,1.0,0.75,1.0
Göztepe,19,25.4,38.8,4,44,360,4.0,6,5,11,6,0,0,13,2,1.5,1.25,2.75,1.5,2.75
Kasımpaşa,18,28.9,56.0,3,33,270,3.0,3,2,5,2,1,1,9,0,1.0,0.67,1.67,0.67,1.33
Kayserispor,20,29.8,44.7,3,33,270,3.0,2,1,3,2,0,0,5,0,0.67,0.33,1.0,0.67,1.0
Kocaelispor,23,29.7,42.8,4,44,360,4.0,2,1,3,2,0,0,8,1,0.5,0.25,0.75,0.5,0.75
Konyaspor,19,29.3,51.0,3,33,270,3.0,8,7,15,7,1,1,6,0,2.67,2.33,5.0,2.33,4.67
Rizespor,18,27.5,49.3,3,33,270,3.0,1,0,1,1,0,0,8,0,0.33,0.0,0.33,0.33,0.33
Samsunspor,20,28.5,56.0,3,33,270,3.0,3,2,5,2,1,1,6,0,1.0,0.67,1.67,0.67,1.33
Trabzonspor,19,27.8,54.5,4,44,360,4.0,4,2,6,4,0,0,6,0,1.0,0.5,1.5,1.0,1.5
