Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Galatasaray,4,4,0,0,13,1,12,12,3.0,W W W W,,"Barış Alper Yılmaz, Eren Elmalı - 3",Günay Güvenç,
2,Trabzonspor,4,3,1,0,4,1,3,10,2.5,W W W D,,Paul Onuachu - 2,Uğurcan Çakır,
3,Göztepe,4,2,2,0,6,1,5,8,2.0,W D W D,,Anthony Dennis - 2,Mateusz Lis,
4,Konyaspor,3,2,1,0,8,2,6,7,2.33,W W D,,Umut Nayir - 2,Deniz Ertaş,
5,Fenerbahçe,3,2,1,0,6,2,4,7,2.33,D W W,,Youssef En-Nesyri - 2,İrfan Can Eğribayat,
6,Samsunspor,3,2,1,0,4,2,2,7,2.33,W W D,,Marius Mouandilmadji - 2,Okan Kocuk,
7,Antalyaspor,4,2,0,2,4,4,0,6,1.5,W W L L,,"Nikola Storm, Güray Vural - 2",Abdullah Yiğiter,
8,Gaziantep FK,4,2,0,2,5,9,-4,6,1.5,L L W W,,"Alexandru Maxim, Deian Sorescu... - 1",Mustafa Burak Bozan,
9,Eyüpspor,4,1,1,2,4,7,-3,4,1.0,L L W D,,"Mame Baba Thiam, Halil Akbunar... - 1",Marcos Felipe,
10,Alanyaspor,3,1,1,1,3,2,1,4,1.33,D L W,,"Florent Hadergjonaj, Güven Yalçın... - 1",Ertuğrul Taşkıran,
11,Beşiktaş,2,1,0,1,2,3,-1,3,1.5,W L,,"Rafa Silva, Tammy Abraham - 1",Mert Günok,
12,Fatih Karagümrük,3,1,0,2,2,6,-4,3,1.0,L L W,,"Daniel Johnson, Anıl Çınar - 1",Ivo Grbić,
13,Başakşehir,2,0,2,0,1,1,0,2,1.0,D D,,Ivan Brnić - 1,"Muhammed Şengezer, Deniz Dilmen",
14,Kayserispor,3,0,2,1,2,6,-4,2,0.67,D L D,,"Miguel Filipe Nunes Cardoso, László Bénes - 1",Bilal Bayazit,
15,Kocaelispor,4,0,1,3,2,6,-4,1,0.25,L L L D,,Bruno Petković - 2,Aleksandar Jovanović,
16,Rizespor,3,0,1,2,1,6,-5,1,0.33,L D L,,Dal Varesanovic - 1,Erdem Canpolat,
17,Kasımpaşa,3,0,0,3,3,6,-3,0,0.0,L L L,,Pape Habib Guèye - 2,Andreas Gianniotis,
18,Gençlerbirliği,4,0,0,4,3,8,-5,0,0.0,L L L L,,"Dimitris Goutas, Žan Žužek... - 1",Gökhan Akkan,
